FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Space Needed in L1,tileB,m Dim,remainderTiles,tileA,tileA_cc,Reduction Dim,Weight Matrix Tile Size,Space Remaining,Row Dim,tileB_cc,tileC_cc,tileC,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
120x120x120w20-40-20,120,120,120,20,40,20,20-40-20,32000,6400,20,000,3200,320,20,12800,82688,40,6400,640,6400,864,6,3,6,0,108,2,5,20,8,2,-1.0,3,5,20,8,3,129600,86400,43200,3456000.0,10800.0,1641600,86400.0,1728000.0,276480,33.75,43200,691200,86400,820800,54.0,7632.000000000001,108.0,1728.0,270.0,270.0,216000.0,1512000.0,216000.0,1728000.0,1728000.0,378.0,0.5142857142857143,3456000.0,1900.0,50.0,800.0,100.0,950.0,8.833333333333334,1200.0,800.0,0.0625,400.0,0.125,2.0
120x120x120w15-24-40,120,120,120,15,24,40,15-24-40,30720,7680,15,000,4800,320,40,15360,83968,24,7680,192,2880,960,8,5,3,0,120,1,3,40,8,1,-1.0,2,3,40,8,2,187200,43200,72000,3456000.0,5400.0,1684800,43200.0,1728000.0,614400,8.4375,72000,921600,43200,1036800,74.99999999999999,23200.0,45.00000000000001,576.0,67.5,67.5,216000.0,1512000.0,216000.0,1728000.0,1728000.0,420.0,0.642857142857143,3456000.0,1755.0,75.0,960.0,45.0,1080.0,24.166666666666668,1560.0,360.0,0.07812499999999999,600.0,0.04687500000000001,0.6
120x120x120w15-40-24,120,120,120,15,40,24,15-40-24,30720,7680,15,000,2880,192,24,15360,83968,40,7680,320,4800,960,8,3,5,0,120,1,5,24,8,1,-1.0,2,5,24,8,2,158400,72000,43200,3456000.0,9000.0,1656000,72000.0,1728000.0,368640,23.437500000000004,43200,921600,72000,1036800,45.00000000000001,13536.000000000002,74.99999999999999,1600.0,187.5,187.50000000000003,216000.0,1512000.0,216000.0,1728000.0,1728000.0,420.0,0.642857142857143,3456000.0,1725.0,45.0,960.0,75.0,1080.0,14.100000000000001,1320.0,600.0,0.04687500000000001,360.0,0.07812499999999999,1.6666666666666667
120x120x120w24-40-15,120,120,120,24,40,15,24-40-15,30720,4800,24,000,2880,360,15,9600,83968,40,4800,960,7680,960,5,3,8,0,120,3,5,15,8,3,0.5,4,5,15,8,4,115200,115200,43200,3456000.0,14400.0,1612800,115200.0,1728000.0,230400,60.0,43200,576000,115200,734400,72.0,5160.0,192.0,2560.0,480.0,480.0,216000.0,1512000.0,216000.0,1728000.0,1728000.0,420.0,0.6095238095238096,3456000.0,1680.0,45.0,600.0,120.0,765.0,5.375,960.0,960.0,0.075,360.0,0.2,2.6666666666666665
120x120x120w20-24-30,120,120,120,20,24,30,20-24-30,28800,5760,20,000,4800,480,30,11520,85888,24,5760,384,3840,960,6,5,4,0,120,2,3,30,8,2,-1.0,3,3,30,8,3,158400,57600,72000,3456000.0,7200.0,1670400,57600.0,1728000.0,460800,15.0,72000,691200,57600,820800,99.99999999999999,13200.0,80.00000000000001,768.0,120.0,120.0,216000.0,1512000.0,216000.0,1728000.0,1728000.0,420.0,0.6349206349206349,3456000.0,1740.0,75.0,720.0,60.0,855.0,13.75,1320.0,480.0,0.10416666666666666,600.0,0.08333333333333334,0.8
120x120x120w30-24-20,120,120,120,30,24,20,30-24-20,28800,3840,30,000,4800,480,20,7680,85888,24,3840,576,5760,960,4,5,6,0,120,3,3,20,8,3,-1.0,4,3,20,8,4,129600,86400,72000,3456000.0,10800.0,1641600,86400.0,1728000.0,307200,33.75,72000,460800,86400,619200,150.0,6000.0,180.00000000000003,1152.0,270.0,270.0,216000.0,1512000.0,216000.0,1728000.0,1728000.0,420.0,0.6190476190476192,3456000.0,1710.0,75.0,480.0,90.0,645.0,6.25,1080.0,720.0,0.15625,600.0,0.18750000000000003,1.2
120x120x120w40-24-15,120,120,120,40,24,15,40-24-15,30720,2880,40,000,4800,600,15,5760,83968,24,2880,960,7680,960,3,5,8,0,120,5,3,15,8,5,0.5,6,3,15,8,6,115200,115200,72000,3456000.0,14400.0,1612800,115200.0,1728000.0,230400,60.0,72000,345600,115200,532800,200.0,3480.0,320.0,1536.0,480.0,480.0,216000.0,1512000.0,216000.0,1728000.0,1728000.0,420.0,0.6095238095238096,3456000.0,1680.0,75.0,360.0,120.0,555.0,3.625,960.0,960.0,0.20833333333333334,600.0,0.3333333333333333,1.6
120x120x120w24-24-24,120,120,120,24,24,24,24-24-24,27648,4608,24,000,4608,576,24,9216,87040,24,4608,576,4608,1000,5,5,5,0,125,3,3,24,8,3,0.1875,4,3,24,8,4,144000,72000,72000,3456000.0,9000.0,1656000,72000.0,1728000.0,384000,23.4375,72000,576000,72000,720000,125.0,9000.0,125.0,1000.0,187.5,187.5,216000.0,1512000.0,216000.0,1728000.0,1728000.0,437.5,0.6613756613756614,3456000.0,1656.0,72.0,576.0,72.0,720.0,9.0,1152.0,576.0,0.125,576.0,0.125,1.0
120x120x120w20-40-15,120,120,120,20,40,15,20-40-15,27200,4800,20,000,2400,240,15,9600,87488,40,4800,640,6400,1152,6,3,8,0,144,2,5,15,8,2,-1.0,3,5,15,8,3,129600,115200,43200,3456000.0,14400.0,1612800,115200.0,1728000.0,276480,59.99999999999999,43200,691200,115200,849600,72.0,7632.0,192.00000000000003,3072.0,480.0,479.99999999999994,216000.0,1512000.0,216000.0,1728000.0,1728000.0,504.0,0.9142857142857143,3456000.0,1400.0,37.5,600.0,100.0,737.5,6.625,900.0,800.0,0.0625,300.0,0.16666666666666669,2.6666666666666665
120x120x120w15-40-20,120,120,120,15,40,20,15-40-20,27200,6400,15,000,2400,160,20,12800,87488,40,6400,320,4800,1152,8,3,6,0,144,1,5,20,8,1,-1.0,2,5,20,8,2,158400,86400,43200,3456000.0,10800.0,1641600,86400.0,1728000.0,368640,33.75,43200,921600,86400,1051200,54.00000000000001,13536.0,108.00000000000001,2304.0,270.0,270.0,216000.0,1512000.0,216000.0,1728000.0,1728000.0,504.0,0.9257142857142857,3456000.0,1425.0,37.5,800.0,75.0,912.5,11.75,1100.0,600.0,0.04687500000000001,300.0,0.09375000000000001,2.0
