JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case
0-112-25,112,25,45000,2800,25944,3
0-128-25,128,25,51400,3200,19160,3
0-136-25,136,25,54600,3400,16408,3
0-144-25,144,25,57800,3600,12632,3
0-152-25,152,25,61000,3800,10072,3
0-160-25,160,25,64200,4000,6360,3
0-168-25,168,25,67400,4200,2648,3
0-176-25,176,25,70600,4400,344,3
