JSON Name,Kernel Name,Kernel Time,Total Time,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Streaming Loads,Reuse Marked Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Total Loads,Tile Shape
0-120-22,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,105501,1169813,120,22,42416,2640,43184,2,11400,300960,50160,3,5,22,312360,tall
0-120-33,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,93178,1157490,120,33,63624,3960,21976,2,7800,308880,51480,3,5,33,316680,tall
0-120-44,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,87587,1152136,120,44,84832,5280,768,2,6000,316800,52800,3,5,44,322800,tall
0-200-22,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,111430,1179508,200,22,70576,4400,15024,2,11400,300960,50160,5,5,22,312360,tall
0-24-107,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,79894,1143608,24,107,41944,2568,43656,2,2400,342400,85600,1,3,107,344800,wide
0-24-117,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,85151,1147681,24,117,45864,2808,39736,2,2400,374400,93600,1,3,117,376800,wide
0-24-127,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,91451,1153981,24,127,49784,3048,35816,2,2400,406400,101600,1,3,127,408800,wide
0-24-137,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,68663,1131824,24,137,53704,3288,31896,2,1800,328800,82200,1,3,137,330600,wide
0-24-147,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,71033,1134194,24,147,57624,3528,27976,2,1800,352800,88200,1,3,147,354600,wide
0-24-157,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,85364,1147762,24,157,61544,3768,24056,2,1800,376800,94200,1,3,157,378600,wide
0-24-167,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89767,1152928,24,167,65464,4008,20136,2,1800,400800,100200,1,3,167,402600,wide
0-24-177,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,95301,1158097,24,177,69384,4248,16216,2,1800,424800,106200,1,3,177,426600,wide
0-24-187,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,99394,1163888,24,187,73304,4488,12296,2,1800,448800,112200,1,3,187,450600,wide
0-24-197,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,104523,1167319,24,197,77224,4728,8376,2,1800,472800,118200,1,3,197,474600,wide
0-24-22,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,161762,1225886,24,22,8624,528,76976,2,11400,334400,83600,1,3,22,345800,tall
0-24-33,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,140831,1203903,24,33,12936,792,72664,2,7800,343200,85800,1,3,33,351000,wide
0-24-44,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,126053,1190165,24,44,17248,1056,68352,2,6000,352000,88000,1,3,44,358000,wide
0-24-55,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,117045,1179445,24,55,21560,1320,64040,2,4800,352000,88000,1,3,55,356800,wide
0-24-65,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,114246,1177077,24,65,25480,1560,60120,2,4200,364000,91000,1,3,65,368200,wide
0-24-75,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,103858,1167953,24,75,29400,1800,56200,2,3600,360000,90000,1,3,75,363600,wide
0-24-86,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,80593,1144043,24,86,33712,2064,51888,2,3000,344000,86000,1,3,86,347000,wide
0-24-96,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,116965,1180497,24,96,37632,2304,47968,2,3000,384000,96000,1,3,96,387000,wide
0-40-107,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,71827,1136510,40,107,69336,4280,16264,2,2400,308160,51360,1,5,107,310560,wide
0-40-117,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,81756,1146434,40,117,75816,4680,9784,2,2400,336960,56160,1,5,117,339360,wide
0-40-127,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,87309,1151987,40,127,82296,5080,3304,2,2400,365760,60960,1,5,127,368160,wide
0-40-22,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,120672,1182193,40,22,14256,880,71344,2,11400,300960,50160,1,5,22,312360,tall
0-40-33,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,112161,1175801,40,33,21384,1320,64216,2,7800,308880,51480,1,5,33,316680,tall
0-40-44,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,103664,1165185,40,44,28512,1760,57088,2,6000,316800,52800,1,5,44,322800,wide
0-40-55,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,84042,1146926,40,55,35640,2200,49960,2,4800,316800,52800,1,5,55,321600,wide
0-40-65,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,84394,1149077,40,65,42120,2600,43480,2,4200,327600,54600,1,5,65,331800,wide
0-40-75,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,81960,1146638,40,75,48600,3000,37000,2,3600,324000,54000,1,5,75,327600,wide
0-40-86,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,77634,1142317,40,86,55728,3440,29872,2,3000,309600,51600,1,5,86,312600,wide
0-40-96,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89566,1153034,40,96,62208,3840,23392,2,3000,345600,57600,1,5,96,348600,wide
