JSON Name,Kernel Name,Kernel Time,Total Time,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Streaming Loads,Reuse Marked Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Total Loads,Tile Shape
0-24-104,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,133167,1284223,24,104,40768,2496,30432,2,4800,665600,166400,1,3,104,670400,wide
0-24-112,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,158363,1398894,24,112,43904,2688,27296,2,4800,716800,179200,1,3,112,721600,wide
0-24-120,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,167288,1419104,24,120,47040,2880,24160,2,4800,768000,192000,1,3,120,772800,wide
0-24-128,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,180448,1490723,24,128,50176,3072,21024,2,4800,819200,204800,1,3,128,824000,wide
0-24-136,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,129958,1271622,24,136,53312,3264,17888,2,3600,652800,163200,1,3,136,656400,wide
0-24-144,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,149984,1351389,24,144,56448,3456,14752,2,3600,691200,172800,1,3,144,694800,wide
0-24-152,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,160151,1391286,24,152,59584,3648,11616,2,3600,729600,182400,1,3,152,733200,wide
0-24-16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,305685,1965176,24,16,6272,384,64928,2,30000,640000,160000,1,3,16,670000,tall
0-24-160,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,171613,1438302,24,160,62720,3840,8480,2,3600,768000,192000,1,3,160,771600,wide
0-24-168,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,174951,1450470,24,168,65856,4032,5344,2,3600,806400,201600,1,3,168,810000,wide
0-24-176,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,109169,1188538,24,176,68992,4224,2208,2,3600,844800,211200,1,3,176,848400,wide
0-24-24,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,305685,1965176,24,24,9408,576,61792,2,20400,652800,163200,1,3,24,673200,square
0-24-32,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,302597,1962088,24,32,12544,768,58656,2,15600,665600,166400,1,3,32,681200,wide
0-24-48,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,244422,1729603,24,48,18816,1152,52384,2,10800,691200,172800,1,3,48,702000,wide
0-24-56,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,228434,1665727,24,56,21952,1344,49248,2,9600,716800,179200,1,3,56,726400,wide
0-24-64,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,244324,1729091,24,64,25088,1536,46112,2,8400,716800,179200,1,3,64,725200,wide
0-24-72,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,200557,1554774,24,72,28224,1728,42976,2,7200,691200,172800,1,3,72,698400,wide
0-24-88,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,155517,1397695,24,88,34496,2112,36704,2,6000,704000,176000,1,3,88,710000,wide
0-24-96,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,229844,1672015,24,96,37632,2304,33568,2,6000,768000,192000,1,3,96,774000,wide
0-40-104,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,133189,1283634,40,104,67392,4160,3808,2,4800,599040,99840,1,5,104,603840,wide
0-40-16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,193104,1522559,40,16,10368,640,60832,2,30000,576000,96000,1,5,16,606000,tall
0-40-24,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,238987,1706789,40,24,15552,960,55648,2,20400,587520,97920,1,5,24,607920,tall
0-40-32,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,263308,1791252,40,32,20736,1280,50464,2,15600,599040,99840,1,5,32,614640,tall
0-40-48,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,207318,1581715,40,48,31104,1920,40096,2,10800,622080,103680,1,5,48,632880,wide
0-40-56,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,156134,1375192,40,56,36288,2240,34912,2,9600,645120,107520,1,5,56,654720,wide
0-40-64,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,214576,1610608,40,64,41472,2560,29728,2,8400,645120,107520,1,5,64,653520,wide
0-40-72,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,147559,1343601,40,72,46656,2880,24544,2,7200,622080,103680,1,5,72,629280,wide
0-40-88,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,149984,1351389,40,88,57024,3520,14176,2,6000,633600,105600,1,5,88,639600,wide
