JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Kernel Time Estimate
0-168-30,168,30,80880,5040,13912,1,3360,201600,100800,14400,86400,3,7,30,160,21,30,44479.99999999999
0-168-25,168,25,67400,4200,27392,1,4032,201600,100800,14400,86400,3,7,25,192,21,25,46847.99999999998
0-168-24,168,24,64704,4032,30088,1,4200,201600,100800,14400,86400,3,7,24,200,21,24,47439.99999999998
0-168-20,168,20,53920,3360,40872,1,5040,201600,100800,14400,86400,3,7,20,240,21,20,50399.999999999956
0-128-40,128,40,82240,5120,11848,1,3840,307200,153600,38400,115200,4,4,40,240,16,40,55680.0
0-168-15,168,15,40440,2520,54352,1,6720,201600,100800,14400,86400,3,7,15,320,21,15,56319.999999999935
0-128-30,128,30,61680,3840,32408,1,5120,307200,153600,38400,115200,4,4,30,320,16,30,61439.99999999997
0-168-12,168,12,32352,2016,62440,1,8400,201600,100800,14400,86400,3,7,12,400,21,12,62239.999999999905
0-120-40,120,40,77120,4800,17096,1,3600,288000,144000,28800,115200,3,5,40,240,15,40,62880.0
0-128-25,128,25,51400,3200,42688,1,6144,307200,153600,38400,115200,4,4,25,384,16,25,66047.99999999996
0-128-24,128,24,49344,3072,44744,1,6400,307200,153600,38400,115200,4,4,24,400,16,24,67199.99999999996
0-72-75,72,75,87000,5400,7408,1,1728,259200,129600,43200,86400,3,3,75,192,9,75,67200.0
0-160-30,160,30,77040,4800,16536,1,6400,384000,192000,38400,153600,4,5,30,320,20,30,67839.99999999997
0-120-30,120,30,57840,3600,36376,1,4800,288000,144000,28800,115200,3,5,30,320,15,30,67839.99999999997
0-168-10,168,10,26960,1680,67832,1,10080,201600,100800,14400,86400,3,7,10,480,21,10,68159.99999999988
0-96-60,96,60,92640,5760,1960,1,1920,230400,115200,19200,96000,2,6,60,160,12,60,68160.00000000006
0-72-60,72,60,69600,4320,24808,1,2160,259200,129600,43200,86400,3,3,60,240,9,60,69600.0
0-96-50,96,50,77200,4800,17400,1,2304,230400,115200,19200,96000,2,6,50,192,12,50,70272.00000000004
0-64-75,64,75,77400,4800,17200,1,1536,230400,115200,28800,86400,2,4,75,192,8,75,71424.00000000006
0-120-25,120,25,48200,3000,46016,1,5760,288000,144000,28800,115200,3,5,25,384,15,25,71807.99999999996
0-160-25,160,25,64200,4000,29376,1,7680,384000,192000,38400,153600,4,5,25,384,20,25,71807.99999999996
0-72-50,72,50,58000,3600,36408,1,2592,259200,129600,43200,86400,3,3,50,288,9,50,72000.0
0-120-24,120,24,46272,2880,47944,1,6000,288000,144000,28800,115200,3,5,24,400,15,24,72799.99999999996
0-160-24,160,24,61632,3840,31944,1,8000,384000,192000,38400,153600,4,5,24,400,20,24,72799.99999999996
0-128-20,128,20,41120,2560,52968,1,7680,307200,153600,38400,115200,4,4,20,480,16,20,72959.99999999991
0-96-40,96,40,61760,3840,32840,1,2880,230400,115200,19200,96000,2,6,40,240,12,40,73440.00000000001
0-144-40,144,40,92480,5760,1352,1,4320,345600,172800,28800,144000,3,6,40,240,18,40,73440.00000000001
0-64-60,64,60,61920,3840,32680,1,1920,230400,115200,28800,86400,2,4,60,240,8,60,74880.00000000006
0-72-40,72,40,46400,2880,48008,1,3240,259200,129600,43200,86400,3,3,40,360,9,40,75600.0
0-168-8,168,8,21568,1344,73224,1,12600,201600,100800,14400,86400,3,7,8,600,21,8,77039.99999999984
0-120-20,120,20,38560,2400,55656,1,7200,288000,144000,28800,115200,3,5,20,480,15,20,77759.99999999991
0-160-20,160,20,51360,3200,42216,1,9600,384000,192000,38400,153600,4,5,20,480,20,20,77759.99999999991
0-64-50,64,50,51600,3200,43000,1,2304,230400,115200,28800,86400,2,4,50,288,8,50,78336.00000000003
0-96-30,96,30,46320,2880,48280,1,3840,230400,115200,19200,96000,2,6,30,320,12,30,78719.99999999997
0-144-30,144,30,69360,4320,24472,1,5760,345600,172800,28800,144000,3,6,30,320,18,30,78719.99999999997
0-112-50,112,50,90000,5600,4344,1,2688,268800,134400,19200,115200,2,7,50,192,14,50,79488.00000000003
0-72-30,72,30,34800,2160,59608,1,4320,259200,129600,43200,86400,3,3,30,480,9,30,81600.0
0-144-25,144,25,57800,3600,36032,1,6912,345600,172800,28800,144000,3,6,25,384,18,25,82943.99999999994
0-96-25,96,25,38600,2400,56000,1,4608,230400,115200,19200,96000,2,6,25,384,12,25,82943.99999999994
0-112-40,112,40,72000,4480,22344,1,3360,268800,134400,19200,115200,2,7,40,240,14,40,83040.0
0-64-40,64,40,41280,2560,53320,1,2880,230400,115200,28800,86400,2,4,40,360,8,40,83520.0
0-96-24,96,24,37056,2304,57544,1,4800,230400,115200,19200,96000,2,6,24,400,12,24,83999.99999999993
0-144-24,144,24,55488,3456,38344,1,7200,345600,172800,28800,144000,3,6,24,400,18,24,83999.99999999993
0-128-15,128,15,30840,1920,63248,1,10240,307200,153600,38400,115200,4,4,15,640,16,15,84479.99999999985
0-72-25,72,25,29000,1800,65408,1,5184,259200,129600,43200,86400,3,3,25,576,9,25,86400.0
0-80-60,80,60,77280,4800,16936,1,2400,288000,144000,28800,115200,2,5,60,240,10,60,86880.00000000006
0-72-24,72,24,27840,1728,66568,1,5400,259200,129600,43200,86400,3,3,24,600,9,24,87600.0
0-120-15,120,15,28920,1800,65296,1,9600,288000,144000,28800,115200,3,5,15,640,15,15,87679.99999999985
0-160-15,160,15,38520,2400,55056,1,12800,384000,192000,38400,153600,4,5,15,640,20,15,87679.99999999985
0-112-30,112,30,54000,3360,40344,1,4480,268800,134400,19200,115200,2,7,30,320,14,30,88959.99999999999
0-144-20,144,20,46240,2880,47592,1,8640,345600,172800,28800,144000,3,6,20,480,18,20,89279.99999999987
0-96-20,96,20,30880,1920,63720,1,5760,230400,115200,19200,96000,2,6,20,480,12,20,89279.99999999987
0-80-50,80,50,64400,4000,29816,1,2880,288000,144000,28800,115200,2,5,50,288,10,50,89856.00000000003
0-64-30,64,30,30960,1920,63640,1,3840,230400,115200,28800,86400,2,4,30,480,8,30,92159.99999999996
0-72-20,72,20,23200,1440,71208,1,6480,259200,129600,43200,86400,3,3,20,720,9,20,93600.0
0-112-25,112,25,45000,2800,49344,1,5376,268800,134400,19200,115200,2,7,25,384,14,25,93695.99999999996
0-80-40,80,40,51520,3200,42696,1,3600,288000,144000,28800,115200,2,5,40,360,10,40,94320.0
0-112-24,112,24,43200,2688,51144,1,5600,268800,134400,19200,115200,2,7,24,400,14,24,94879.99999999996
0-128-12,128,12,24672,1536,69416,1,12800,307200,153600,38400,115200,4,4,12,800,16,12,95999.99999999981
0-120-12,120,12,23136,1440,71080,1,12000,288000,144000,28800,115200,3,5,12,800,15,12,97599.99999999981
0-160-12,160,12,30816,1920,62760,1,16000,384000,192000,38400,153600,4,5,12,800,20,12,97599.99999999981
0-64-25,64,25,25800,1600,68800,1,4608,230400,115200,28800,86400,2,4,25,576,8,25,99071.99999999994
0-144-15,144,15,34680,2160,59152,1,11520,345600,172800,28800,144000,3,6,15,640,18,15,99839.99999999978
0-96-15,96,15,23160,1440,71440,1,7680,230400,115200,19200,96000,2,6,15,640,12,15,99839.99999999978
0-112-20,112,20,36000,2240,58344,1,6720,268800,134400,19200,115200,2,7,20,480,14,20,100799.99999999991
0-64-24,64,24,24768,1536,69832,1,4800,230400,115200,28800,86400,2,4,24,600,8,24,100799.99999999993
0-80-30,80,30,38640,2400,55576,1,4800,288000,144000,28800,115200,2,5,30,480,10,30,101759.99999999996
0-72-15,72,15,17400,1080,77008,1,8640,259200,129600,43200,86400,3,3,15,960,9,15,105599.99999999999
0-120-10,120,10,19280,1200,74936,1,14400,288000,144000,28800,115200,3,5,10,960,15,10,107519.99999999974
0-128-10,128,10,20560,1280,73528,1,15360,307200,153600,38400,115200,4,4,10,960,16,10,107519.99999999974
0-160-10,160,10,25680,1600,67896,1,19200,384000,192000,38400,153600,4,5,10,960,20,10,107519.99999999974
0-80-25,80,25,32200,2000,62016,1,5760,288000,144000,28800,115200,2,5,25,576,10,25,107711.99999999994
0-56-100,56,100,90400,5600,4392,1,1008,201600,100800,14400,86400,1,7,100,144,7,100,108576.00000000006
0-80-24,80,24,30912,1920,63304,1,6000,288000,144000,28800,115200,2,5,24,600,10,24,109199.99999999993
0-64-20,64,20,20640,1280,73960,1,5760,230400,115200,28800,86400,2,4,20,720,8,20,109439.99999999988
0-144-12,144,12,27744,1728,66088,1,14400,345600,172800,28800,144000,3,6,12,800,18,12,110399.99999999968
0-96-12,96,12,18528,1152,76072,1,9600,230400,115200,19200,96000,2,6,12,800,12,12,110399.99999999968
0-56-75,56,75,67800,4200,26992,1,1344,201600,100800,14400,86400,1,7,75,192,7,75,112128.00000000004
0-112-15,112,15,27000,1680,67344,1,8960,268800,134400,19200,115200,2,7,15,640,14,15,112639.99999999987
0-56-60,56,60,54240,3360,40552,1,1680,201600,100800,14400,86400,1,7,60,240,7,60,115680.00000000004
0-80-20,80,20,25760,1600,68456,1,7200,288000,144000,28800,115200,2,5,20,720,10,20,116639.99999999988
0-72-12,72,12,13920,864,80488,1,10800,259200,129600,43200,86400,3,3,12,1200,9,12,117599.99999999999
0-56-50,56,50,45200,2800,49592,1,2016,201600,100800,14400,86400,1,7,50,288,7,50,119232.00000000003
0-144-10,144,10,23120,1440,70712,1,17280,345600,172800,28800,144000,3,6,10,960,18,10,120959.99999999956
0-96-10,96,10,15440,960,79160,1,11520,230400,115200,19200,96000,2,6,10,960,12,10,120959.99999999956
0-120-8,120,8,15424,960,78792,1,18000,288000,144000,28800,115200,3,5,8,1200,15,8,122399.99999999964
0-160-8,160,8,20544,1280,73032,1,24000,384000,192000,38400,153600,4,5,8,1200,20,8,122399.99999999964
0-112-12,112,12,21600,1344,72744,1,11200,268800,134400,19200,115200,2,7,12,800,14,12,124479.99999999981
0-56-40,56,40,36160,2240,58632,1,2520,201600,100800,14400,86400,1,7,40,360,7,40,124560.0
0-128-8,128,8,16448,1024,77640,1,19200,307200,153600,38400,115200,4,4,8,1200,16,8,124799.99999999967
0-48-120,48,120,93120,5760,1480,1,960,230400,115200,19200,96000,1,6,120,160,6,120,125760.00000000022
0-64-15,64,15,15480,960,79120,1,7680,230400,115200,28800,86400,2,4,15,960,8,15,126719.99999999978
0-48-100,48,100,77600,4800,17000,1,1152,230400,115200,19200,96000,1,6,100,192,6,100,127872.00000000022
0-88-60,88,60,84960,5280,9768,1,160,19200,9600,9600,0,1,1,60,160,11,60,128320.00000000007
0-32-150,32,150,78000,4800,16600,1,768,230400,115200,28800,86400,1,4,150,192,4,150,129024.0000000002
0-72-10,72,10,11600,720,82808,1,12960,259200,129600,43200,86400,3,3,10,1440,9,10,129599.99999999999
0-104-50,104,50,83600,5200,10872,1,192,19200,9600,9600,0,1,1,50,192,13,50,130944.00000000004
0-88-50,88,50,70800,4400,23928,1,192,19200,9600,9600,0,1,1,50,192,11,50,130944.00000000004
0-80-15,80,15,19320,1200,74896,1,9600,288000,144000,28800,115200,2,5,15,960,10,15,131519.99999999977
0-48-75,48,75,58200,3600,36400,1,1536,230400,115200,19200,96000,1,6,75,256,6,75,132096.00000000017
0-40-120,40,120,77760,4800,16776,1,1000,240000,120000,24000,96000,1,5,120,200,5,120,132400.00000000015
0-32-120,32,120,62400,3840,32200,1,960,230400,115200,28800,86400,1,4,120,240,4,120,132480.00000000017
0-56-30,56,30,27120,1680,67672,1,3360,201600,100800,14400,86400,1,7,30,480,7,30,133439.99999999997
0-88-40,88,40,56640,3520,38088,1,240,19200,9600,9600,0,1,1,40,240,11,40,134880.00000000003
0-136-40,136,40,87360,5440,6600,1,240,19200,9600,9600,0,1,1,40,240,17,40,134880.00000000003
0-104-40,104,40,66880,4160,27592,1,240,19200,9600,9600,0,1,1,40,240,13,40,134880.00000000003
0-40-100,40,100,64800,4000,29736,1,1200,240000,120000,24000,96000,1,5,100,240,5,100,134880.00000000015
0-32-100,32,100,52000,3200,42600,1,1152,230400,115200,28800,86400,1,4,100,288,4,100,135936.00000000017
0-112-10,112,10,18000,1120,76344,1,13440,268800,134400,19200,115200,2,7,10,960,14,10,136319.99999999977
0-48-60,48,60,46560,2880,48040,1,1920,230400,115200,19200,96000,1,6,60,320,6,60,136320.00000000012
0-144-8,144,8,18496,1152,75336,1,21600,345600,172800,28800,144000,3,6,8,1200,18,8,136799.99999999942
0-96-8,96,8,12352,768,82248,1,14400,230400,115200,19200,96000,2,6,8,1200,12,8,136799.99999999942
0-40-75,40,75,48600,3000,45936,1,1600,240000,120000,24000,96000,1,5,75,320,5,75,139840.00000000012
0-56-25,56,25,22600,1400,72192,1,4032,201600,100800,14400,86400,1,7,25,576,7,25,140543.99999999994
0-48-50,48,50,38800,2400,55800,1,2304,230400,115200,19200,96000,1,6,50,384,6,50,140544.0000000001
0-88-30,88,30,42480,2640,52248,1,320,19200,9600,9600,0,1,1,30,320,11,30,141439.99999999997
0-136-30,136,30,65520,4080,28440,1,320,19200,9600,9600,0,1,1,30,320,17,30,141439.99999999997
0-152-30,152,30,73200,4560,20504,1,320,19200,9600,9600,0,1,1,30,320,19,30,141439.99999999997
0-104-30,104,30,50160,3120,44312,1,320,19200,9600,9600,0,1,1,30,320,13,30,141439.99999999997
0-56-24,56,24,21696,1344,73096,1,4200,201600,100800,14400,86400,1,7,24,600,7,24,142319.99999999994
0-24-200,24,200,78400,4800,16392,1,504,201600,100800,33600,67200,1,3,200,168,3,200,142800.00000000003
0-32-75,32,75,39000,2400,55600,1,1536,230400,115200,28800,86400,1,4,75,384,4,75,142848.00000000012
0-64-12,64,12,12384,768,82216,1,9600,230400,115200,28800,86400,2,4,12,1200,8,12,143999.9999999997
0-40-60,40,60,38880,2400,55656,1,2000,240000,120000,24000,96000,1,5,60,400,5,60,144800.0000000001
0-24-150,24,150,58800,3600,35992,1,672,201600,100800,33600,67200,1,3,150,224,3,150,145600.0
0-80-12,80,12,15456,960,78760,1,12000,288000,144000,28800,115200,2,5,12,1200,10,12,146399.9999999997
0-136-25,136,25,54600,3400,39360,1,384,19200,9600,9600,0,1,1,25,384,17,25,146687.99999999994
0-88-25,88,25,35400,2200,59328,1,384,19200,9600,9600,0,1,1,25,384,11,25,146687.99999999994
0-104-25,104,25,41800,2600,52672,1,384,19200,9600,9600,0,1,1,25,384,13,25,146687.99999999994
0-152-25,152,25,61000,3800,32704,1,384,19200,9600,9600,0,1,1,25,384,19,25,146687.99999999994
0-48-40,48,40,31040,1920,63560,1,2880,230400,115200,19200,96000,1,6,40,480,6,40,146880.00000000003
0-72-8,72,8,9280,576,85128,1,16200,259200,129600,43200,86400,3,3,8,1800,9,8,147599.99999999994
0-136-24,136,24,52416,3264,41544,1,400,19200,9600,9600,0,1,1,24,400,17,24,147999.99999999994
0-88-24,88,24,33984,2112,60744,1,400,19200,9600,9600,0,1,1,24,400,11,24,147999.99999999994
0-104-24,104,24,40128,2496,54344,1,400,19200,9600,9600,0,1,1,24,400,13,24,147999.99999999994
0-152-24,152,24,58560,3648,35144,1,400,19200,9600,9600,0,1,1,24,400,19,24,147999.99999999994
0-24-120,24,120,47040,2880,47752,1,840,201600,100800,33600,67200,1,3,120,280,3,120,148400.0
0-40-50,40,50,32400,2000,62136,1,2400,240000,120000,24000,96000,1,5,50,480,5,50,149760.00000000006
0-32-60,32,60,31200,1920,63400,1,1920,230400,115200,28800,86400,1,4,60,480,4,60,149760.00000000012
0-56-20,56,20,18080,1120,76712,1,5040,201600,100800,14400,86400,1,7,20,720,7,20,151199.99999999988
0-24-100,24,100,39200,2400,55592,1,1008,201600,100800,33600,67200,1,3,100,336,3,100,151200.00000000003
0-112-8,112,8,14400,896,79944,1,16800,268800,134400,19200,115200,2,7,8,1200,14,8,154079.99999999968
0-104-20,104,20,33440,2080,61032,1,480,19200,9600,9600,0,1,1,20,480,13,20,154559.99999999985
0-136-20,136,20,43680,2720,50280,1,480,19200,9600,9600,0,1,1,20,480,17,20,154559.99999999985
0-152-20,152,20,48800,3040,44904,1,480,19200,9600,9600,0,1,1,20,480,19,20,154559.99999999985
