FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,SSR Config Time_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,Sum Compute + SSR Configs_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,SSR Config Time_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,Sum Compute + SSR Configs_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,SSR Config Time_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,Sum Compute + SSR Configs_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,SSR Config Time_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,Sum Compute + SSR Configs_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,SSR Config Time_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,Sum Compute + SSR Configs_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,SSR Config Time_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,Sum Compute + SSR Configs_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,SSR Config Time_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,Sum Compute + SSR Configs_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,SSR Config Time_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,Sum Compute + SSR Configs_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,dma cycle_q,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,SSR Config Time Total,Sum Compute + SSR Configs Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
256x256x256w31-24-32,2538818,2538818,2537233,3294,370,2535152,80474,139426,2313669,2453095,2537233,2394143,792,2538806,2538806,2537221,3293,358,2535153,78883,139554,2315133,2454687,2537221,2394016,792,2538806,2538806,2537221,3292,362,2535150,79573,143528,2310466,2453994,2537221,2390039,792,2538806,2538806,2537221,3291,356,2535157,79211,133571,2320792,2454363,2537221,2400003,792,2538804,2538804,2537219,3288,355,2535159,80658,130043,2322875,2452918,2537219,2403533,792,2538804,2538804,2537220,3287,353,2535162,79401,121069,2333110,2454179,2537220,2412511,792,2538804,2538804,2537220,3286,349,2535167,80377,126293,2326915,2453208,2537220,2407292,792,2538804,2538804,2537219,3285,372,2535145,79235,674660,1779667,2454327,2537219,1858902,792,2535167,2538802,2538802,2538821,6336,1608144,18022627,637812,18660439,16,16,4,4,4,4,4,4,2,2,2,2,2,2,2,2
256x256x256w32-24-29,2489089,2489089,2487504,3265,478,2485344,79840,147761,2256160,2403921,2487504,2336000,792,2489081,2489081,2487496,3268,486,2485325,79474,150801,2253467,2404268,2487496,2332941,792,2489082,2489082,2487497,3267,491,2485322,79947,152199,2251593,2403792,2487497,2331540,792,2489080,2489080,2487495,3262,482,2485334,79264,145643,2258844,2404487,2487495,2338108,792,2489079,2489079,2487494,3264,486,2485327,79880,144315,2259549,2403864,2487494,2339429,792,2489079,2489079,2487494,3265,483,2485329,79225,134547,2269974,2404521,2487494,2349199,792,2489079,2489079,2487494,3266,481,2485330,78773,140530,2264444,2404974,2487494,2343217,792,2489079,2489079,2487494,3265,481,2485331,79949,130725,2273074,2403799,2487494,2353023,792,2485344,2489077,2489077,2489096,6336,1146521,18087105,636352,18723457,12,12,4,4,5,5,3,3,2,2,2,2,2,2,2,2
256x256x256w32-24-30,2482489,2482489,2480904,3270,483,2478734,79567,146559,2251025,2397584,2480904,2330592,792,2482482,2482482,2480897,3272,489,2478719,79153,146021,2251962,2397983,2480897,2331115,792,2482483,2482483,2480898,3271,508,2478702,80313,145854,2250952,2396806,2480898,2331265,792,2482481,2482481,2480896,3267,492,2478720,80336,138516,2258285,2396801,2480896,2338621,792,2482480,2482480,2480895,3269,487,2478722,79019,141541,2256579,2398120,2480895,2335598,792,2482480,2482480,2480895,3269,484,2478725,78987,132810,2265345,2398155,2480895,2344332,792,2482480,2482480,2480895,3269,486,2478723,78792,135211,2263137,2398348,2480895,2341929,792,2482480,2482480,2480895,3269,475,2478734,79804,133654,2263693,2397347,2480895,2343497,792,2478742,2482470,2482470,2482489,6336,1120166,18060978,635971,18696949,19,19,12,12,13,13,11,11,10,10,10,10,10,10,10,10
256x256x256w32-24-31,2483389,2483389,2481804,3284,482,2479621,78926,143782,2255330,2399112,2481804,2334256,792,2483380,2483380,2481795,3283,473,2479622,78762,143504,2255773,2399277,2481795,2334535,792,2483379,2483379,2481794,3282,469,2479626,77810,146839,2253394,2400233,2481794,2331204,792,2483378,2483378,2481793,3281,471,2479624,78231,137683,2262127,2399810,2481793,2340358,792,2483375,2483375,2481790,3278,466,2479629,77783,137671,2262592,2400263,2481790,2340375,792,2483374,2483374,2481789,3277,472,2479623,77278,132661,2268101,2400762,2481789,2345379,792,2483373,2483373,2481788,3276,477,2479618,78836,130291,2268908,2399199,2481788,2347744,792,2483372,2483372,2481787,3275,478,2479617,77925,127715,2272394,2400109,2481787,2350319,792,2479629,2483369,2483369,2483388,6336,1100146,18098619,625551,18724170,20,20,11,11,10,10,9,9,6,6,5,5,4,4,3,3
timeout,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
