JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Predicted Kernel Time
0-40-100,40,100,64800,4000,20800,1,2400,480000,240000,48000,192000,1,5,100,480,5,100,92174.52787264867
0-120-40,120,40,77120,4800,8480,1,6000,480000,240000,48000,192000,3,5,40,400,15,40,93749.08873232885
0-24-200,24,200,78400,4800,7200,1,1200,480000,240000,80000,160000,1,3,200,400,3,200,97927.73663577123
0-40-80,40,80,51840,3200,33760,1,3000,480000,240000,48000,192000,1,5,80,600,5,80,98786.94843539281
0-200-25,200,25,80200,5000,5400,1,9600,480000,240000,48000,192000,5,5,25,384,25,25,99675.81556948705
0-200-20,200,20,64160,4000,21440,1,12000,480000,240000,48000,192000,5,5,20,480,25,20,111143.32334384008
0-40-50,40,50,32400,2000,53200,1,4800,480000,240000,48000,192000,1,5,50,960,5,50,111608.41208895727
0-120-25,120,25,48200,3000,37400,1,9600,480000,240000,48000,192000,3,5,25,640,15,25,113273.0289483933
0-24-100,24,100,39200,2400,46400,1,2400,480000,240000,80000,160000,1,3,100,800,3,100,116467.58207186742
0-40-40,40,40,25920,1600,59680,1,6000,480000,240000,48000,192000,1,5,40,1200,5,40,117817.45510348363
0-24-80,24,80,31360,1920,54240,1,3000,480000,240000,80000,160000,1,3,80,1000,3,80,121621.04878481908
0-120-20,120,20,38560,2400,47040,1,12000,480000,240000,48000,192000,3,5,20,800,15,20,122703.57097872777
0-200-16,200,16,51328,3200,34272,1,15000,480000,240000,48000,192000,5,5,16,600,25,16,122777.0166726975
0-120-16,120,16,30848,1920,54752,1,15000,480000,240000,48000,192000,3,5,16,1000,15,16,132878.31040438695
0-40-25,40,25,16200,1000,69400,1,9600,480000,240000,48000,192000,1,5,25,1920,5,25,132936.68514498754
0-24-50,24,50,19600,1200,66000,1,4800,480000,240000,80000,160000,1,3,50,1600,3,50,132964.9928232102
0-24-40,24,40,15680,960,69920,1,6000,480000,240000,80000,160000,1,3,40,2000,3,40,139155.47019442602
0-40-20,40,20,12960,800,72640,1,12000,480000,240000,48000,192000,1,5,20,2400,5,20,141846.8721567063
0-600-8,600,8,76864,4800,8736,1,30000,480000,240000,48000,192000,15,5,8,400,75,8,142473.38672884984
0-200-10,200,10,32080,2000,53520,1,24000,480000,240000,48000,192000,5,5,10,960,25,10,150476.25275668188
0-40-16,40,16,10368,640,75232,1,15000,480000,240000,48000,192000,1,5,16,3000,5,16,152458.42107638402
0-24-25,24,25,9800,600,75800,1,9600,480000,240000,80000,160000,1,3,25,3200,3,25,155668.67426547094
0-120-10,120,10,19280,1200,66320,1,24000,480000,240000,48000,192000,3,5,10,1600,15,10,159100.02694186254
0-24-20,24,20,7840,480,77760,1,12000,480000,240000,80000,160000,1,3,20,4000,3,20,165991.40096530004
0-200-8,200,8,25664,1600,59936,1,30000,480000,240000,48000,192000,5,5,8,1200,25,8,166541.7955423264
0-120-8,120,8,15424,960,70176,1,30000,480000,240000,48000,192000,3,5,8,2000,15,8,175147.00403842016
0-24-16,24,16,6272,384,79328,1,15000,480000,240000,80000,160000,1,3,16,5000,3,16,178586.0751291184
0-40-10,40,10,6480,400,79120,1,24000,480000,240000,48000,192000,1,5,10,4800,5,10,182889.90817507787
0-40-8,40,8,5184,320,80416,1,30000,480000,240000,48000,192000,1,5,8,6000,5,8,202709.84635409398
0-24-10,24,10,3920,240,81680,1,24000,480000,240000,80000,160000,1,3,10,8000,3,10,215546.80646761938
0-24-8,24,8,3136,192,82464,1,30000,480000,240000,80000,160000,1,3,8,10000,3,8,239912.8636270432
