JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Predicted Kernel Time
0-144-40,144,40,92480,5760,1352,1,4320,345600,172800,28800,144000,3,6,40,240,18,40,102673.67265566869
0-160-30,160,30,77040,4800,16536,1,6400,384000,192000,38400,153600,4,5,30,320,20,30,109293.2086282639
0-112-50,112,50,90000,5600,4344,1,2688,268800,134400,19200,115200,2,7,50,192,14,50,111562.68759402318
0-144-30,144,30,69360,4320,24472,1,5760,345600,172800,28800,144000,3,6,30,320,18,30,114706.46612032934
0-48-120,48,120,93120,5760,1480,1,960,230400,115200,19200,96000,1,6,120,160,6,120,115062.9802575974
0-80-60,80,60,77280,4800,16936,1,2400,288000,144000,28800,115200,2,5,60,240,10,60,116169.14314517064
0-96-60,96,60,92640,5760,1960,1,1920,230400,115200,19200,96000,2,6,60,160,12,60,116556.75655993505
0-128-40,128,40,82240,5120,11848,1,3840,307200,153600,38400,115200,4,4,40,240,16,40,117019.54933413549
0-160-25,160,25,64200,4000,29376,1,7680,384000,192000,38400,153600,4,5,25,384,20,25,117077.70115908666
0-120-40,120,40,77120,4800,17096,1,3600,288000,144000,28800,115200,3,5,40,240,15,40,118462.72090014501
0-160-24,160,24,61632,3840,31944,1,8000,384000,192000,38400,153600,4,5,24,400,20,24,118784.15042361303
0-56-100,56,100,90400,5600,4392,1,1008,201600,100800,14400,86400,1,7,100,144,7,100,119697.38966998144
0-112-40,112,40,72000,4480,22344,1,3360,268800,134400,19200,115200,2,7,40,240,14,40,119905.89245089574
0-40-120,40,120,77760,4800,16776,1,1000,240000,120000,24000,96000,1,5,120,200,5,120,121180.25664004369
0-48-100,48,100,77600,4800,17000,1,1152,230400,115200,19200,96000,1,6,100,192,6,100,121287.98209628148
0-144-25,144,25,57800,3600,36032,1,6912,345600,172800,28800,144000,3,6,25,384,18,25,121746.54869326635
0-80-50,80,50,64400,4000,29816,1,2880,288000,144000,28800,115200,2,5,50,288,10,50,122187.6738954453
0-72-75,72,75,87000,5400,7408,1,1728,259200,129600,43200,86400,3,3,75,192,9,75,122465.18634661718
0-96-50,96,50,77200,4800,17400,1,2304,230400,115200,19200,96000,2,6,50,192,12,50,123251.05681857152
0-144-24,144,24,55488,3456,38344,1,7200,345600,172800,28800,144000,3,6,24,400,18,24,123291.05667361303
0-32-150,32,150,78000,4800,16600,1,768,230400,115200,28800,86400,1,4,150,192,4,150,124711.8651681809
0-64-75,64,75,77400,4800,17200,1,1536,230400,115200,28800,86400,2,4,75,192,8,75,125697.58565768285
0-160-20,160,20,51360,3200,42216,1,9600,384000,192000,38400,153600,4,5,20,480,20,20,126357.70128878637
0-40-100,40,100,64800,4000,29736,1,1200,240000,120000,24000,96000,1,5,100,240,5,100,126502.52934893651
0-168-30,168,30,80880,5040,13912,1,3360,201600,100800,14400,86400,3,7,30,160,21,30,127431.39290103002
0-128-30,128,30,61680,3840,32408,1,5120,307200,153600,38400,115200,4,4,30,320,16,30,127759.4125924973
0-120-30,120,30,57840,3600,36376,1,4800,288000,144000,28800,115200,3,5,30,320,15,30,128556.1190782456
0-80-40,80,40,51520,3200,42696,1,3600,288000,144000,28800,115200,2,5,40,360,10,40,128838.1111169724
0-56-75,56,75,67800,4200,26992,1,1344,201600,100800,14400,86400,1,7,75,192,7,75,128929.98495730443
0-112-30,112,30,54000,3360,40344,1,4480,268800,134400,19200,115200,2,7,30,320,14,30,129352.8255525498
0-48-75,48,75,58200,3600,36400,1,1536,230400,115200,19200,96000,1,6,75,256,6,75,129505.2511850266
0-72-60,72,60,69600,4320,24808,1,2160,259200,129600,43200,86400,3,3,60,240,9,60,130038.29561862035
0-144-20,144,20,46240,2880,47592,1,8640,345600,172800,28800,144000,3,6,20,480,18,20,130151.54577120824
0-96-40,96,40,61760,3840,32840,1,2880,230400,115200,19200,96000,2,6,40,240,12,40,130431.92462405248
0-32-120,32,120,62400,3840,32200,1,960,230400,115200,28800,86400,1,4,120,240,4,120,130954.13613757177
0-24-200,24,200,78400,4800,16392,1,504,201600,100800,33600,67200,1,3,200,168,3,200,132058.2715593247
0-64-60,64,60,61920,3840,32680,1,1920,230400,115200,28800,86400,2,4,60,240,8,60,132447.9145608811
0-40-75,40,75,48600,3000,45936,1,1600,240000,120000,24000,96000,1,5,75,320,5,75,133639.17567690893
0-168-25,168,25,67400,4200,27392,1,4032,201600,100800,14400,86400,3,7,25,192,21,25,134027.28623065038
0-128-25,128,25,51400,3200,42688,1,6144,307200,153600,38400,115200,4,4,25,384,16,25,134055.08523043676
0-120-25,120,25,48200,3000,46016,1,5760,288000,144000,28800,115200,3,5,25,384,15,25,134479.58674105688
0-56-60,56,60,54240,3360,40552,1,1680,201600,100800,14400,86400,1,7,60,240,7,60,134857.53348788305
0-48-60,48,60,46560,2880,48040,1,1920,230400,115200,19200,96000,1,6,60,320,6,60,134900.6971994309
0-112-25,112,25,45000,2800,49344,1,5376,268800,134400,19200,115200,2,7,25,384,14,25,134904.0882593064
0-32-100,32,100,52000,3200,42600,1,1152,230400,115200,28800,86400,1,4,100,288,4,100,135341.03141268773
0-168-24,168,24,64704,4032,30088,1,4200,201600,100800,14400,86400,3,7,24,200,21,24,135424.505098906
0-128-24,128,24,49344,3072,44744,1,6400,307200,153600,38400,115200,4,4,24,400,16,24,135437.65191134496
0-72-50,72,50,58000,3600,36408,1,2592,259200,129600,43200,86400,3,3,50,288,9,50,135475.6578431992
0-120-24,120,24,46272,2880,47944,1,6000,288000,144000,28800,115200,3,5,24,400,15,24,135781.18277987523
0-112-24,112,24,43200,2688,51144,1,5600,268800,134400,19200,115200,2,7,24,400,14,24,136124.71362551732
0-80-30,80,30,38640,2400,55576,1,4800,288000,144000,28800,115200,2,5,30,480,10,30,136752.36131533666
0-64-50,64,50,51600,3200,43000,1,2304,230400,115200,28800,86400,2,4,50,288,8,50,137304.10825594945
