JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Predicted Kernel Time
0-48-80,48,80,62080,3840,9120,1,6000,960000,480000,80000,400000,1,6,80,1000,6,80,20649.117197599844
0-40-100,40,100,64800,4000,6400,1,4800,960000,480000,96000,384000,1,5,100,960,5,100,23518.524881926016
0-40-80,40,80,51840,3200,19360,1,6000,960000,480000,96000,384000,1,5,80,1200,5,80,32066.167307463125
0-80-50,80,50,64400,4000,6800,1,9600,960000,480000,96000,384000,2,5,50,960,10,50,32925.40893038793
0-48-50,48,50,38800,2400,32400,1,9600,960000,480000,80000,400000,1,6,50,1600,6,50,40015.00605258031
0-80-40,80,40,51520,3200,19680,1,12000,960000,480000,96000,384000,2,5,40,1200,10,40,43999.19150790258
0-48-40,48,40,31040,1920,40160,1,12000,960000,480000,80000,400000,1,6,40,2000,6,40,50103.77558383031
0-40-50,40,50,32400,2000,38800,1,9600,960000,480000,96000,384000,1,5,50,1920,5,50,50693.29645785375
0-120-25,120,25,48200,3000,23000,1,19200,960000,480000,96000,384000,3,5,25,1280,15,25,60256.634440031485
0-40-40,40,40,25920,1600,45280,1,12000,960000,480000,96000,384000,1,5,40,2400,5,40,60772.78316744848
0-200-20,200,20,64160,4000,7040,1,24000,960000,480000,96000,384000,5,5,20,960,25,20,62076.28943881078
0-24-100,24,100,39200,2400,32000,1,4800,960000,480000,160000,320000,1,3,100,1600,3,100,62440.157557096914
0-240-16,240,16,61568,3840,9632,1,30000,960000,480000,80000,400000,5,6,16,1000,30,16,69125.39238986059
0-24-80,24,80,31360,1920,39840,1,6000,960000,480000,160000,320000,1,3,80,2000,3,80,70002.78693636938
0-80-25,80,25,32200,2000,39000,1,19200,960000,480000,96000,384000,2,5,25,1920,10,25,70088.46256503148
0-120-20,120,20,38560,2400,32640,1,24000,960000,480000,96000,384000,3,5,20,1600,15,20,75532.3004251389
0-48-25,48,25,19400,1200,51800,1,19200,960000,480000,80000,400000,1,6,25,3200,6,25,76137.34966525121
0-200-16,200,16,51328,3200,19872,1,30000,960000,480000,96000,384000,5,5,16,1200,25,16,80542.44683321996
0-80-20,80,20,25760,1600,45440,1,24000,960000,480000,96000,384000,2,5,20,2400,10,20,85103.95105990453
0-40-25,40,25,16200,1000,55000,1,19200,960000,480000,96000,384000,1,5,25,3840,5,25,87503.34421786352
0-24-50,24,50,19600,1200,51600,1,9600,960000,480000,160000,320000,1,3,50,3200,3,50,88574.21897372289
0-48-20,48,20,15520,960,55680,1,24000,960000,480000,80000,400000,1,6,20,4000,6,20,92082.15416964574
0-120-16,120,16,30848,1920,40352,1,30000,960000,480000,96000,384000,3,5,16,2000,15,16,93013.4448343186
0-24-40,24,40,15680,960,55520,1,12000,960000,480000,160000,320000,1,3,40,4000,3,40,99583.02173861547
0-80-16,80,16,20608,1280,50592,1,30000,960000,480000,96000,384000,2,5,16,3000,10,16,102803.50013217016
0-40-20,40,20,12960,800,58240,1,24000,960000,480000,96000,384000,1,5,20,4800,5,20,104154.41851290746
0-400-10,400,10,64080,4000,7120,1,48000,960000,480000,96000,384000,10,5,10,960,50,10,110971.16645297094
0-48-16,48,16,12416,768,58784,1,30000,960000,480000,80000,400000,1,6,16,5000,6,16,111378.24955233617
0-240-10,240,10,38480,2400,32720,1,48000,960000,480000,80000,400000,5,6,10,1600,30,10,118060.78055819555
0-40-16,40,16,10368,640,60832,1,30000,960000,480000,96000,384000,1,5,16,6000,5,16,124442.07654818578
0-200-10,200,10,32080,2000,39120,1,48000,960000,480000,96000,384000,5,5,10,1920,25,10,128739.07514437719
0-24-25,24,25,9800,600,61400,1,19200,960000,480000,160000,320000,1,3,25,6400,3,25,130551.2018075852
0-120-10,120,10,19280,1200,51920,1,48000,960000,480000,96000,384000,3,5,10,3200,15,10,141154.3761697678
0-400-8,400,8,51264,3200,19936,1,60000,960000,480000,96000,384000,10,5,8,1200,50,8,141695.93329867406
0-240-8,240,8,30784,1920,40416,1,60000,960000,480000,80000,400000,5,6,8,2000,30,8,147800.53432711645
0-24-20,24,20,7840,480,63360,1,24000,960000,480000,160000,320000,1,3,20,8000,3,20,150510.57920321508
0-80-10,80,10,12880,800,58320,1,48000,960000,480000,96000,384000,2,5,10,4800,10,10,153049.31678256078
0-200-8,200,8,25664,1600,45536,1,60000,960000,480000,96000,384000,5,5,8,2400,25,8,158469.5461221604
0-48-10,48,10,7760,480,63440,1,48000,960000,480000,80000,400000,1,6,10,8000,6,10,167573.44199618383
0-120-8,120,8,15424,960,55776,1,60000,960000,480000,96000,384000,3,5,8,4000,15,8,171814.16309603734
0-24-16,24,16,6272,384,64928,1,30000,960000,480000,160000,320000,1,3,16,10000,3,16,175151.06681307836
0-40-10,40,10,6480,400,64720,1,48000,960000,480000,96000,384000,1,5,10,9600,5,10,183901.89109286352
0-80-8,80,8,10304,640,60896,1,60000,960000,480000,96000,384000,2,5,8,6000,10,8,185595.5842080979
0-48-8,48,8,6208,384,64992,1,60000,960000,480000,80000,400000,1,6,8,10000,6,8,204472.53896578832
0-40-8,40,8,5184,320,66016,1,60000,960000,480000,96000,384000,1,5,8,12000,5,8,223074.04758700414
0-24-10,24,10,3920,240,67280,1,48000,960000,480000,160000,320000,1,3,10,16000,3,10,248249.2382303147
0-24-8,24,8,3136,192,68064,1,60000,960000,480000,160000,320000,1,3,8,20000,3,8,296706.92215975805
