FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
512x384x384w128-8-8,13468064,13468054,13468070,13468082,13468085,13468089,13468082,13468082,13472392,13468096
512x384x384w16-16-64,11350456,11350454,11350456,11350459,11350456,11350443,11350443,11350452,11354277,11350464
512x384x384w16-64-16,12817370,12817362,12817375,12817340,12817384,12817402,12817368,12817383,12821162,12817408
512x384x384w32-24-24,11164205,11164192,11164209,11164212,11164208,11164245,11164243,11164250,11168075,11164253
512x384x384w32-24-32,10910720,10910709,10910725,10910710,10910727,10910731,10910732,10910704,10914762,10910740
512x384x384w32-32-24,12182816,12182820,12182854,12182880,12182870,12182889,12182879,12182889,12186870,12182892
512x384x384w32-32-32,11690788,11690744,11690735,11690744,11690744,11690764,11690764,11690796,11694872,11690797
512x384x384w64-16-16,11669550,11669554,11669532,11669533,11669525,11669543,11669535,11669540,11673504,11669556
512x384x384w8-128-8,14805875,14805816,14805824,14805837,14805853,14805864,14805862,14805881,14809498,14805889
512x384x384w8-8-128,12467293,12467294,12467299,12467272,12467281,12467275,12467305,12467301,12471105,12467313
