FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x96x128w128-8-8,278440,278420,278425,278426,278439,278413,278417,278421,282714,278446
128x96x128w16-16-64,234073,234069,234083,234062,234080,234080,234097,234080,237846,234099
128x96x128w16-32-32,256016,256041,256029,256024,255995,256032,256046,256023,259751,256047
128x96x128w16-48-16,247744,247750,247725,247763,247744,247750,247762,247762,251309,247770
128x96x128w32-16-32,237340,237332,237344,237355,237334,237358,237350,237338,241155,237366
128x96x128w32-24-32,224875,224873,224875,224877,224889,224874,224872,224864,228832,224897
128x96x128w32-32-16,263898,263905,263906,263844,263855,263906,263914,263895,267631,263916
128x96x128w32-32-32,242299,242271,242251,242300,242282,242320,242334,242324,246360,242335
128x96x128w64-16-16,241052,241035,241051,241044,241052,241038,241051,241045,244961,241059
128x96x128w8-8-128,236468,236463,236464,236480,236470,236456,236458,236459,239938,236481
