FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
32x128x128w16-16-64,77388,77380,77365,77370,77378,77390,77393,77377,81113,77398
32x128x128w16-32-32,84900,84887,84907,84927,84915,84936,84945,84919,88596,84946
32x128x128w16-64-16,87817,87835,87778,87846,87846,87864,87856,87864,91529,87867
32x128x128w16-64-8,99658,99630,99601,99653,99631,99672,99672,99666,103144,99674
32x128x128w32-16-32,78474,78460,78457,78463,78477,78450,78450,78471,82222,78483
32x128x128w32-32-16,87248,87255,87272,87287,87289,87306,87304,87248,90993,87314
32x128x128w32-32-32,80416,80379,80373,80420,80420,80374,80403,80411,84353,80427
32x128x128w8-128-8,101231,101230,101214,101221,101214,101240,101253,101245,104775,101254
32x128x128w8-64-16,97103,97077,97102,97112,97086,97122,97094,97083,100565,97130
32x128x128w8-8-128,78049,78050,78052,78060,78037,78044,78043,78047,81529,78061
