FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x64x128w128-8-8,183226,183201,183201,183211,183213,183223,183229,183212,187526,183231
128x64x128w16-16-64,155220,155211,155217,155231,155212,155222,155228,155231,158961,155237
128x64x128w16-32-32,169836,169823,169843,169863,169851,169880,169881,169855,173511,169883
128x64x128w16-64-16,175411,175421,175427,175390,175419,175454,175459,175451,179122,175462
128x64x128w32-16-32,157172,157175,157186,157188,157186,157212,157203,157223,160969,157225
128x64x128w32-32-16,175654,175627,175639,175658,175632,175652,175633,175602,179351,175664
128x64x128w32-32-32,160781,160742,160776,160795,160749,160795,160793,160811,164789,160813
128x64x128w64-16-16,160578,160567,160564,160572,160555,160574,160596,160568,164510,160598
128x64x128w8-64-16,193605,193599,193597,193614,193615,193624,193596,193623,197065,193632
128x64x128w8-8-128,156539,156540,156538,156550,156543,156558,156533,156531,160024,156559
