FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
384x384x384w128-8-8,10138202,10138183,10138183,10138191,10138195,10138185,10138176,10138165,10142492,10138203
384x384x384w16-16-64,8512776,8512774,8512776,8512779,8512776,8512763,8512763,8512772,8516596,8512784
384x384x384w16-64-16,9612938,9612930,9612943,9612908,9612952,9612970,9612936,9612951,9616729,9612976
384x384x384w24-24-32,8389804,8389801,8389817,8389834,8389825,8389814,8389814,8389802,8393700,8389835
384x384x384w24-32-32,8891418,8891410,8891410,8891372,8891383,8891410,8891401,8891409,8895372,8891420
384x384x384w32-24-32,8182960,8182949,8182965,8182950,8182967,8182971,8182972,8182944,8187008,8182980
384x384x384w32-32-24,9134873,9134911,9134892,9134927,9134925,9134918,9134935,9134918,9138930,9134937
384x384x384w32-32-32,8808981,8808928,8808961,8808956,8808971,8808996,8808986,8808988,8813055,8809003
384x384x384w64-16-16,8755534,8755539,8755510,8755533,8755510,8755521,8755519,8755559,8759507,8755567
384x384x384w8-128-8,10989083,10989023,10989100,10989116,10989108,10989126,10989126,10989110,10992750,10989133
