FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x384x384w128-8-8,3387883,3387883,3387894,3387892,3387894,3387898,3387868,3387871,3392202,3387904
128x384x384w16-16-64,2836871,2836862,2836867,2836882,2836876,2836871,2836868,2836876,2840677,2836887
128x384x384w16-64-16,3201948,3201997,3201982,3202014,3202003,3202008,3201997,3201987,3205769,3202018
128x384x384w32-24-24,2792170,2792166,2792166,2792172,2792165,2792163,2792163,2792164,2796003,2792179
128x384x384w32-24-32,2727795,2727808,2727840,2727832,2727833,2727861,2727859,2727824,2731873,2727868
128x384x384w32-32-24,3042536,3042533,3042523,3042559,3042553,3042516,3042562,3042516,3046540,3042566
128x384x384w32-32-32,2936157,2936104,2936137,2936132,2936147,2936172,2936162,2936164,2940231,2936179
128x384x384w64-16-16,2917261,2917261,2917268,2917295,2917282,2917283,2917249,2917247,2921256,2917299
128x384x384w8-128-8,3690860,3690876,3690890,3690918,3690883,3690899,3690899,3690848,3694523,3690922
128x384x384w8-8-128,3120522,3120530,3120527,3120547,3120562,3120550,3120551,3120547,3124356,3120564
