FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
192x384x384w16-16-64,4260331,4260335,4260336,4260331,4260326,4260337,4260354,4260343,4264147,4260362
192x384x384w16-64-16,4807132,4807132,4807132,4807157,4807149,4807153,4807114,4807122,4810914,4807161
192x384x384w24-24-32,4195420,4195431,4195431,4195446,4195453,4195457,4195437,4195429,4199335,4195464
192x384x384w24-32-32,4462846,4462823,4462812,4462833,4462849,4462876,4462866,4462867,4466821,4462882
192x384x384w32-24-24,4188298,4188294,4188294,4188300,4188293,4188291,4188291,4188292,4192134,4188307
192x384x384w32-24-32,4093065,4093078,4093110,4093102,4093103,4093131,4093129,4093094,4097145,4093138
192x384x384w32-32-24,4575678,4575668,4575637,4575697,4575679,4575683,4575699,4575674,4579690,4575704
192x384x384w32-32-32,4402866,4402869,4402905,4402908,4402910,4402953,4402942,4402942,4407008,4402960
192x384x384w64-16-16,4373039,4373039,4373046,4373073,4373060,4373061,4373027,4373025,4377033,4373077
192x384x384w8-128-8,5497846,5497786,5497863,5497879,5497871,5497889,5497889,5497873,5501515,5497896
