FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x32x128w128-8-8,92108,92089,92090,92078,92101,92090,92084,92089,96311,92112
128x32x128w16-16-64,77423,77417,77427,77433,77441,77410,77417,77423,81160,77448
128x32x128w16-32-32,84873,84864,84874,84882,84855,84848,84873,84864,88527,84888
128x32x128w32-16-32,78571,78569,78567,78578,78561,78563,78576,78579,82341,78585
128x32x128w32-32-16,87713,87696,87701,87727,87719,87682,87694,87702,91412,87733
128x32x128w32-32-32,80234,80180,80188,80253,80241,80280,80260,80262,84274,80288
128x32x128w64-16-16,80254,80247,80254,80255,80235,80250,80248,80253,84193,80262
128x32x128w64-16-8,92114,92118,92138,92130,92130,92140,92145,92149,95932,92152
128x32x128w8-16-64,85329,85326,85332,85332,85311,85315,85325,85325,88835,85338
128x32x128w8-8-128,78071,78079,78080,78086,78098,78100,78099,78096,81564,78101
