FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
64x128x128w16-16-64,155607,155598,155615,155607,155604,155608,155625,155597,159340,155626
64x128x128w16-32-32,170022,170009,170029,170049,170037,170066,170067,170041,173737,170069
64x128x128w16-64-16,174889,174928,174950,174976,174966,174996,174969,174983,178653,174997
64x128x128w16-8-64,169917,169921,169936,169924,169922,169946,169923,169940,173555,169947
64x128x128w32-16-32,158112,158092,158106,158127,158111,158116,158122,158107,161855,158133
64x128x128w32-32-16,175678,175657,175700,175729,175714,175726,175748,175715,179421,175749
64x128x128w32-32-32,161159,161176,161126,161160,161166,161201,161191,161200,165157,161209
64x128x128w64-16-16,160712,160709,160709,160731,160715,160703,160729,160720,164650,160737
64x128x128w8-128-8,202134,202111,202141,202152,202158,202101,202135,202154,205688,202165
64x128x128w8-8-128,155943,155949,155950,155957,155939,155962,155947,155952,159357,155963
