JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim
0-400-10,400,10,64080,4000,7120,1,48000,960000,480000,96000,384000,10,5,10,960,50,10
0-240-16,240,16,61568,3840,9632,1,30000,960000,480000,80000,400000,5,6,16,1000,30,16
0-200-20,200,20,64160,4000,7040,1,24000,960000,480000,96000,384000,5,5,20,960,25,20
0-80-50,80,50,64400,4000,6800,1,9600,960000,480000,96000,384000,2,5,50,960,10,50
0-48-80,48,80,62080,3840,9120,1,6000,960000,480000,80000,400000,1,6,80,1000,6,80
0-40-80,40,80,51840,3200,19360,1,6000,960000,480000,96000,384000,1,5,80,1200,5,80
0-40-100,40,100,64800,4000,6400,1,4800,960000,480000,96000,384000,1,5,100,960,5,100
