JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim
0-600-8,600,8,76864,4800,8736,1,45000,720000,360000,72000,288000,15,5,8,600,75,8
0-200-24,200,24,76992,4800,8608,1,15000,720000,360000,72000,288000,5,5,24,600,25,24
0-200-25,200,25,80200,5000,5400,1,14400,720000,360000,72000,288000,5,5,25,576,25,25
0-120-40,120,40,77120,4800,8480,1,9000,720000,360000,72000,288000,3,5,40,600,15,40
0-40-100,40,100,64800,4000,20800,1,3600,720000,360000,72000,288000,1,5,100,720,5,100
0-40-120,40,120,77760,4800,7840,1,3000,720000,360000,72000,288000,1,5,120,600,5,120
0-24-200,24,200,78400,4800,7200,1,1800,720000,360000,120000,240000,1,3,200,600,3,200
