JSON Name,Kernel Name,Kernel Time,Total Time,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Total Loads,Tile Shape
0-40-75,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,76421,1117436,40,75,48600,3000,37000,1,4800,720000,360000,72000,288000,1,5,75,960,5,75,724800,wide
0-40-100,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,69121,1110948,40,100,64800,4000,20800,1,3600,720000,360000,72000,288000,1,5,100,720,5,100,723600,wide
0-40-120,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,70917,1111317,40,120,77760,4800,7840,1,3000,720000,360000,72000,288000,1,5,120,600,5,120,723000,wide
0-24-150,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,76490,1118136,24,150,58800,3600,26800,1,2400,720000,360000,120000,240000,1,3,150,800,3,150,722400,wide
0-24-200,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,72988,1112697,24,200,78400,4800,7200,1,1800,720000,360000,120000,240000,1,3,200,600,3,200,721800,wide
