JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Kernel Name,Kernel Time,Total Time
0-120-10,120,10,19280,1200,51920,1,48000,960000,480000,96000,384000,3,5,10,3200,15,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,265093,1813422
0-120-16,120,16,30848,1920,40352,1,30000,960000,480000,96000,384000,3,5,16,2000,15,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,169280,1429097
0-120-20,120,20,38560,2400,32640,1,24000,960000,480000,96000,384000,3,5,20,1600,15,20,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,141036,1317755
0-120-25,120,25,48200,3000,23000,1,19200,960000,480000,96000,384000,3,5,25,1280,15,25,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,125798,1256802
0-200-8,200,8,25664,1600,45536,1,60000,960000,480000,96000,384000,5,5,8,2400,25,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,322060,2040075
0-200-10,200,10,32080,2000,39120,1,48000,960000,480000,96000,384000,5,5,10,1920,25,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,262347,1800347
0-200-16,200,16,51328,3200,19872,1,30000,960000,480000,96000,384000,5,5,16,1200,25,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,165065,1411802
0-200-20,200,20,64160,4000,7040,1,24000,960000,480000,96000,384000,5,5,20,960,25,20,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,138296,1304769
0-240-8,240,8,30784,1920,40416,1,60000,960000,480000,96000,384000,6,5,8,2000,30,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,324115,2047464
0-240-10,240,10,38480,2400,32720,1,48000,960000,480000,96000,384000,6,5,10,1600,30,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,264770,1810659
0-240-16,240,16,61568,3840,9632,1,30000,960000,480000,96000,384000,6,5,16,1000,30,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,167242,1422605
0-400-8,400,8,51264,3200,19936,1,60000,960000,480000,96000,384000,10,5,8,1200,50,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,344388,2129393
0-400-10,400,10,64080,4000,7120,1,48000,960000,480000,96000,384000,10,5,10,960,50,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,283504,1885686
