FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Space Needed in L1,Total Time,Other Streaming Loads,Reused Streaming Loads,Microkernel Reduction Dim,Kernel Name,Reduction Dim,Kernel Time,Microkernel Count,HW Loop Iters,Microkernel Row Dim,Total Streaming Loads,Case,Start Reuse Streaming Loads,Row Dim,HW Loop Body,Regular Loads,Outer Loop Iters,Weight Matrix Tile Size,Space Remaining
1x1200x400w1-80-10,1,1200,400,1,80,10,0-80-10,12880,1895226,480000,384000,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,10,285721,4800,10,10,960000,1,96000,80,5,48000,2,800,58320
1x1200x400w1-80-16,1,1200,400,1,80,16,0-80-16,20608,1513514,480000,384000,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,16,190319,3000,16,10,960000,1,96000,80,5,30000,2,1280,50592
1x1200x400w1-80-20,1,1200,400,1,80,20,0-80-20,25760,1367545,480000,384000,20,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,20,153834,2400,20,10,960000,1,96000,80,5,24000,2,1600,45440
1x1200x400w1-80-25,1,1200,400,1,80,25,0-80-25,32200,1294608,480000,384000,25,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,25,135585,1920,25,10,960000,1,96000,80,5,19200,2,2000,39000
1x1200x400w1-80-40,1,1200,400,1,80,40,0-80-40,51520,1176324,480000,384000,40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,40,106128,1200,40,10,960000,1,96000,80,5,12000,2,3200,19680
1x1200x400w1-80-50,1,1200,400,1,80,50,0-80-50,64400,1188419,480000,384000,50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,50,108935,960,50,10,960000,1,96000,80,5,9600,2,4000,6800
1x1200x400w1-120-8,1,1200,400,1,120,8,0-120-8,15424,2067337,480000,384000,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,8,328480,4000,8,15,960000,1,96000,120,5,60000,3,960,55776
1x1200x400w1-120-10,1,1200,400,1,120,10,0-120-10,19280,1811092,480000,384000,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,10,264998,3200,10,15,960000,1,96000,120,5,48000,3,1200,51920
1x1200x400w1-120-16,1,1200,400,1,120,16,0-120-16,30848,1429506,480000,384000,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,16,169281,2000,16,15,960000,1,96000,120,5,30000,3,1920,40352
1x1200x400w1-120-20,1,1200,400,1,120,20,0-120-20,38560,1316886,480000,384000,20,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,20,141124,1600,20,15,960000,1,96000,120,5,24000,3,2400,32640
