FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Other Streaming Loads,Reused Streaming Loads,Start Reuse Streaming Loads,Microkernel Row Dim,Kernel Name,Row Dim,Outer Loop Iters,Case,Weight Matrix Tile Size,Space Needed in L1,HW Loop Iters,Total Time,HW Loop Body,Regular Loads,Reduction Dim,Space Remaining,Microkernel Reduction Dim,Kernel Time,Microkernel Count,Total Streaming Loads
1x600x600w1-40-75,1,600,600,1,40,75,0-40-75,360000,288000,72000,5,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,40,1,1,3000,48600,75,1117388,5,4800,75,37000,75,75374,960,720000
1x600x600w1-40-100,1,600,600,1,40,100,0-40-100,360000,288000,72000,5,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,40,1,1,4000,64800,100,1112609,5,3600,100,20800,100,69685,720,720000
1x600x600w1-40-120,1,600,600,1,40,120,0-40-120,360000,288000,72000,5,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,40,1,1,4800,77760,120,1113903,5,3000,120,7840,120,70953,600,720000
1x600x600w1-120-8,1,600,600,1,120,8,0-120-8,360000,288000,72000,15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,120,3,1,960,15424,8,1308588,5,45000,8,70176,8,266026,3000,720000
1x600x600w1-120-10,1,600,600,1,120,10,0-120-10,360000,288000,72000,15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,120,3,1,1200,19280,10,1259850,5,36000,10,66320,10,217146,2400,720000
1x600x600w1-120-12,1,600,600,1,120,12,0-120-12,360000,288000,72000,15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,120,3,1,1440,23136,12,1223992,5,30000,12,62464,12,180942,2000,720000
1x600x600w1-120-15,1,600,600,1,120,15,0-120-15,360000,288000,72000,15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,120,3,1,1800,28920,15,1190407,5,24000,15,56680,15,147703,1600,720000
1x600x600w1-120-20,1,600,600,1,120,20,0-120-20,360000,288000,72000,15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,120,3,1,2400,38560,20,1156983,5,18000,20,47040,20,114421,1200,720000
1x600x600w1-120-24,1,600,600,1,120,24,0-120-24,360000,288000,72000,15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,120,3,1,2880,46272,24,1141172,5,15000,24,39328,24,98608,1000,720000
1x600x600w1-120-25,1,600,600,1,120,25,0-120-25,360000,288000,72000,15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,120,3,1,3000,48200,25,1144090,5,14400,25,37400,25,101876,960,720000
