JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Kernel Name,Kernel Time,Total Time
0-80-56,80,56,72128,4480,18272,1,1200,134400,67200,13440,53760,2,5,56,120,10,56,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,33921,1127483
0-80-60,80,60,77280,4800,13120,1,1200,144000,72000,14400,57600,2,5,60,120,10,60,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,33787,1129657
0-80-64,80,64,82432,5120,7968,1,1200,153600,76800,15360,61440,2,5,64,120,10,64,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,36812,1131499
0-80-68,80,68,87584,5440,2816,1,1200,163200,81600,16320,65280,2,5,68,120,10,68,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,36333,1131206
0-200-8,200,8,25664,1600,64736,1,8400,134400,67200,13440,53760,5,5,8,336,25,8,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,88414,1184513
0-200-12,200,12,38496,2400,51904,1,5600,134400,67200,13440,53760,5,5,12,224,25,12,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,64477,1160283
0-200-16,200,16,51328,3200,39072,1,4400,140800,70400,14080,56320,5,5,16,176,25,16,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,53661,1149513
0-200-20,200,20,64160,4000,26240,1,3600,144000,72000,14400,57600,5,5,20,144,25,20,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,46474,1139508
0-200-23,200,23,73784,4600,16616,1,2800,128800,64400,12880,51520,5,5,23,112,25,23,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,29420,1125645
0-200-24,200,24,76992,4800,13408,1,2800,134400,67200,13440,53760,5,5,24,112,25,24,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,38829,1134550
0-200-28,200,28,89824,5600,576,1,2400,134400,67200,13440,53760,5,5,28,96,25,28,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,35763,1129391
0-400-8,400,8,51264,3200,39136,1,8400,134400,67200,13440,53760,10,5,8,168,50,8,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,84923,1179813
0-400-12,400,12,76896,4800,13504,1,5600,134400,67200,13440,53760,10,5,12,112,50,12,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,61910,1158083
