FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Kernel Time,Row Dim,Total Streaming Loads,HW Loop Body,Space Remaining,Space Needed in L1,Kernel Name,Microkernel Count,Start Reuse Streaming Loads,Microkernel Reduction Dim,Other Streaming Loads,Weight Matrix Tile Size,Reduction Dim,Outer Loop Iters,Case,Microkernel Row Dim,HW Loop Iters,Reused Streaming Loads,Regular Loads,Total Time
1x400x161w1-80-32,1,400,161,1,80,32,0-80-32,46048,80,153600,5,49184,41216,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,240,15360,32,76800,2560,32,2,1,10,32,61440,2400,1142067
1x400x161w1-80-36,1,400,161,1,80,36,0-80-36,38704,80,144000,5,44032,46368,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,200,14400,36,72000,2880,36,2,1,10,36,57600,2000,1134346
1x400x161w1-80-40,1,400,161,1,80,40,0-80-40,42895,80,160000,5,38880,51520,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,200,16000,40,80000,3200,40,2,1,10,40,64000,2000,1139279
1x400x161w1-80-44,1,400,161,1,80,44,0-80-44,35704,80,140800,5,33728,56672,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,160,14080,44,70400,3520,44,2,1,10,44,56320,1600,1132083
1x400x161w1-80-48,1,400,161,1,80,48,0-80-48,38998,80,153600,5,28576,61824,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,160,15360,48,76800,3840,48,2,1,10,48,61440,1600,1135365
1x400x161w1-80-52,1,400,161,1,80,52,0-80-52,39501,80,166400,5,23424,66976,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,160,16640,52,83200,4160,52,2,1,10,52,66560,1600,1135880
1x400x161w1-80-56,1,400,161,1,80,56,0-80-56,33921,80,134400,5,18272,72128,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,120,13440,56,67200,4480,56,2,1,10,56,53760,1200,1127483
1x400x161w1-80-60,1,400,161,1,80,60,0-80-60,33787,80,144000,5,13120,77280,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,120,14400,60,72000,4800,60,2,1,10,60,57600,1200,1129657
1x400x161w1-80-64,1,400,161,1,80,64,0-80-64,36812,80,153600,5,7968,82432,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,120,15360,64,76800,5120,64,2,1,10,64,61440,1200,1131499
1x400x161w1-80-68,1,400,161,1,80,68,0-80-68,36333,80,163200,5,2816,87584,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,120,16320,68,81600,5440,68,2,1,10,68,65280,1200,1131206
1x400x161w1-200-8,1,400,161,1,200,8,0-200-8,88414,200,134400,5,64736,25664,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,336,13440,8,67200,1600,8,5,1,25,8,53760,8400,1184513
1x400x161w1-200-12,1,400,161,1,200,12,0-200-12,64477,200,134400,5,51904,38496,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,224,13440,12,67200,2400,12,5,1,25,12,53760,5600,1160283
1x400x161w1-200-16,1,400,161,1,200,16,0-200-16,53661,200,140800,5,39072,51328,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,176,14080,16,70400,3200,16,5,1,25,16,56320,4400,1149513
1x400x161w1-200-20,1,400,161,1,200,20,0-200-20,46474,200,144000,5,26240,64160,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,144,14400,20,72000,4000,20,5,1,25,20,57600,3600,1139508
1x400x161w1-200-23,1,400,161,1,200,23,0-200-23,29420,200,128800,5,16616,73784,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,112,12880,23,64400,4600,23,5,1,25,23,51520,2800,1125645
1x400x161w1-200-24,1,400,161,1,200,24,0-200-24,38829,200,134400,5,13408,76992,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,112,13440,24,67200,4800,24,5,1,25,24,53760,2800,1134550
1x400x161w1-200-28,1,400,161,1,200,28,0-200-28,35763,200,134400,5,576,89824,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,96,13440,28,67200,5600,28,5,1,25,28,53760,2400,1129391
1x400x161w1-400-8,1,400,161,1,400,8,0-400-8,84923,400,134400,5,39136,51264,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,168,13440,8,67200,3200,8,10,1,50,8,53760,8400,1179813
1x400x161w1-400-12,1,400,161,1,400,12,0-400-12,61910,400,134400,5,13504,76896,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,112,13440,12,67200,4800,12,10,1,50,12,53760,5600,1158083
