,FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileC_cc,Weight Matrix Tile Size,tileC,tileA_cc,tileA,tileB_cc,m Dim,Space Needed in L1,tileB,Reduction Dim,Row Dim,Space Remaining,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
0,128x144x128w16-16-64,128,144,128,16,16,64,16-16-64,256,16384,2048,1024,8192,8192,16,36864,8192,64,16,77824,1152,2,2,64,8,2,3,2,64,8,3,36864.0,4571136.0,285696.0,1999872.0,285696,2285568.0,64,8.0,9.0,2.0,313344.0,2,351667,351657,351662,351642,351662,351658,351671,351658,355452,351673
1,128x144x128w32-24-32,128,144,128,32,24,32,32-24-32,768,12288,6144,1024,8192,6144,32,40960,6144,32,24,73728,768,4,3,32,8,4,5,3,32,8,5,73728.0,4423680.0,276480.0,1935360.0,276480,2211840.0,32,4.0,6.0,4.0,190464.0,2,338435,338440,338438,338468,338454,338475,338451,338449,342449,338476
