,FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileA,tileA_cc,Reduction Dim,tileB_cc,tileB,Space Remaining,tileC_cc,Space Needed in L1,m Dim,tileC,Row Dim,Weight Matrix Tile Size,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
0,32x128x128w16-16-64,32,128,128,16,16,64,16-16-64,8192,1024,64,8192,8192,77824,256,36864,16,2048,16,16384,256,2,2,64,8,2,3,2,64,8,3,8192.0,1015808.0,63488.0,444416.0,63488,507904.0,64,2.0,8.0,2.0,69632.0,2,77388,77380,77365,77370,77378,77390,77393,77377,81113,77398
1,32x128x128w16-32-32,32,128,128,16,32,32,16-32-32,4096,512,32,8192,8192,81920,512,32768,16,4096,32,16384,256,2,4,32,8,2,3,4,32,8,3,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,2.0,4.0,4.0,53248.0,2,84900,84887,84907,84927,84915,84936,84945,84919,88596,84946
2,32x128x128w16-64-16,32,128,128,16,64,16,16-64-16,2048,256,16,8192,8192,77824,1024,36864,16,8192,64,16384,256,2,8,16,8,2,3,8,16,8,3,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,2.0,2.0,8.0,45056.0,2,87817,87835,87778,87846,87846,87864,87856,87864,91529,87867
3,32x128x128w16-64-8,32,128,128,16,64,8,16-64-8,1024,128,8,4096,4096,88064,1024,26624,16,8192,64,8192,512,2,8,8,8,2,3,8,8,8,3,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,2.0,2.0,16.0,45056.0,1,99658,99630,99601,99653,99631,99672,99672,99666,103144,99674
4,32x128x128w32-16-32,32,128,128,32,16,32,32-16-32,8192,1024,32,4096,4096,81920,512,32768,32,4096,16,8192,256,4,2,32,8,4,5,2,32,8,5,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,1.0,8.0,4.0,53248.0,1,78474,78460,78457,78463,78477,78450,78450,78471,82222,78483
5,32x128x128w32-32-16,32,128,128,32,32,16,32-32-16,4096,512,16,4096,4096,81920,1024,32768,32,8192,32,8192,256,4,4,16,8,4,5,4,16,8,5,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,1.0,4.0,8.0,36864.0,1,87248,87255,87272,87287,87289,87306,87304,87248,90993,87314
6,32x128x128w32-32-32,32,128,128,32,32,32,32-32-32,8192,1024,32,8192,8192,65536,1024,49152,32,8192,32,16384,128,4,4,32,8,4,5,4,32,8,5,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,1.0,4.0,4.0,36864.0,2,80416,80379,80373,80420,80420,80374,80403,80411,84353,80427
7,32x128x128w8-128-8,32,128,128,8,128,8,8-128-8,512,64,8,8192,8192,80896,1024,33792,8,8192,128,16384,512,1,16,8,8,1,2,16,8,8,2,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,4.0,1.0,16.0,73728.0,2,101231,101230,101214,101221,101214,101240,101253,101245,104775,101254
8,32x128x128w8-64-16,32,128,128,8,64,16,8-64-16,1024,128,16,8192,8192,88064,512,26624,8,4096,64,16384,512,1,8,16,8,1,2,8,16,8,2,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,4.0,2.0,8.0,77824.0,0,97103,97077,97102,97112,97086,97122,97094,97083,100565,97130
9,32x128x128w8-8-128,32,128,128,8,8,128,8-8-128,8192,1024,128,8192,8192,80896,64,33792,8,512,8,16384,512,1,1,128,8,1,2,1,128,8,2,4096.0,1032192.0,64512.0,451584.0,64512,516096.0,128,4.0,16.0,1.0,135168.0,3,78049,78050,78052,78060,78037,78044,78043,78047,81529,78061
