JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters
0-24-25,24,25,9800,600,75800,1,9600,320000,1,3,25
0-24-40,24,40,15680,960,69920,1,6000,320000,1,3,40
0-24-50,24,50,19600,1200,66000,1,4800,320000,1,3,50
0-24-80,24,80,31360,1920,54240,1,3000,320000,1,3,80
0-24-100,24,100,39200,2400,46400,1,2400,320000,1,3,100
0-24-200,24,200,78400,4800,7200,1,1200,320000,1,3,200
0-40-25,40,25,16200,1000,69400,1,9600,288000,1,5,25
0-40-40,40,40,25920,1600,59680,1,6000,288000,1,5,40
0-40-50,40,50,32400,2000,53200,1,4800,288000,1,5,50
0-40-80,40,80,51840,3200,33760,1,3000,288000,1,5,80
0-40-100,40,100,64800,4000,20800,1,2400,288000,1,5,100
0-120-25,120,25,48200,3000,37400,1,9600,288000,3,5,25
0-120-40,120,40,77120,4800,8480,1,6000,288000,3,5,40
0-200-25,200,25,80200,5000,5400,1,9600,288000,5,5,25
