JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters
0-24-22,24,22,8624,528,76976,2,11400,334400,1,3,22
0-24-33,24,33,12936,792,72664,2,7800,343200,1,3,33
0-24-44,24,44,17248,1056,68352,2,6000,352000,1,3,44
0-24-55,24,55,21560,1320,64040,2,4800,352000,1,3,55
0-24-65,24,65,25480,1560,60120,2,4200,364000,1,3,65
0-24-75,24,75,29400,1800,56200,2,3600,360000,1,3,75
0-24-86,24,86,33712,2064,51888,2,3000,344000,1,3,86
0-24-96,24,96,37632,2304,47968,2,3000,384000,1,3,96
0-24-107,24,107,41944,2568,43656,2,2400,342400,1,3,107
0-24-117,24,117,45864,2808,39736,2,2400,374400,1,3,117
0-24-127,24,127,49784,3048,35816,2,2400,406400,1,3,127
0-24-137,24,137,53704,3288,31896,2,1800,328800,1,3,137
0-24-147,24,147,57624,3528,27976,2,1800,352800,1,3,147
0-24-157,24,157,61544,3768,24056,2,1800,376800,1,3,157
0-24-167,24,167,65464,4008,20136,2,1800,400800,1,3,167
0-24-177,24,177,69384,4248,16216,2,1800,424800,1,3,177
0-24-187,24,187,73304,4488,12296,2,1800,448800,1,3,187
0-24-197,24,197,77224,4728,8376,2,1800,472800,1,3,197
0-40-22,40,22,14256,880,71344,2,11400,300960,1,5,22
0-40-33,40,33,21384,1320,64216,2,7800,308880,1,5,33
0-40-44,40,44,28512,1760,57088,2,6000,316800,1,5,44
0-40-55,40,55,35640,2200,49960,2,4800,316800,1,5,55
0-40-65,40,65,42120,2600,43480,2,4200,327600,1,5,65
0-40-75,40,75,48600,3000,37000,2,3600,324000,1,5,75
0-40-86,40,86,55728,3440,29872,2,3000,309600,1,5,86
0-40-96,40,96,62208,3840,23392,2,3000,345600,1,5,96
0-40-107,40,107,69336,4280,16264,2,2400,308160,1,5,107
0-40-117,40,117,75816,4680,9784,2,2400,336960,1,5,117
0-40-127,40,127,82296,5080,3304,2,2400,365760,1,5,127
0-120-22,120,22,42416,2640,43184,2,11400,300960,3,5,22
0-120-33,120,33,63624,3960,21976,2,7800,308880,3,5,33
0-120-44,120,44,84832,5280,768,2,6000,316800,3,5,44
0-200-22,200,22,70576,4400,15024,2,11400,300960,5,5,22
