JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters
0-24-24,24,24,9408,576,76192,1,15000,480000,1,3,24
0-24-25,24,25,9800,600,75800,1,14400,480000,1,3,25
0-24-30,24,30,11760,720,73840,1,12000,480000,1,3,30
0-24-40,24,40,15680,960,69920,1,9000,480000,1,3,40
0-24-50,24,50,19600,1200,66000,1,7200,480000,1,3,50
0-24-60,24,60,23520,1440,62080,1,6000,480000,1,3,60
0-24-75,24,75,29400,1800,56200,1,4800,480000,1,3,75
0-24-100,24,100,39200,2400,46400,1,3600,480000,1,3,100
0-24-120,24,120,47040,2880,38560,1,3000,480000,1,3,120
0-24-150,24,150,58800,3600,26800,1,2400,480000,1,3,150
0-24-200,24,200,78400,4800,7200,1,1800,480000,1,3,200
0-40-24,40,24,15552,960,70048,1,15000,432000,1,5,24
0-40-25,40,25,16200,1000,69400,1,14400,432000,1,5,25
0-40-30,40,30,19440,1200,66160,1,12000,432000,1,5,30
0-40-40,40,40,25920,1600,59680,1,9000,432000,1,5,40
0-40-50,40,50,32400,2000,53200,1,7200,432000,1,5,50
0-40-60,40,60,38880,2400,46720,1,6000,432000,1,5,60
0-40-75,40,75,48600,3000,37000,1,4800,432000,1,5,75
0-40-100,40,100,64800,4000,20800,1,3600,432000,1,5,100
0-40-120,40,120,77760,4800,7840,1,3000,432000,1,5,120
0-120-24,120,24,46272,2880,39328,1,15000,432000,3,5,24
0-120-25,120,25,48200,3000,37400,1,14400,432000,3,5,25
0-120-30,120,30,57840,3600,27760,1,12000,432000,3,5,30
0-120-40,120,40,77120,4800,8480,1,9000,432000,3,5,40
0-200-24,200,24,76992,4800,8608,1,15000,432000,5,5,24
0-200-25,200,25,80200,5000,5400,1,14400,432000,5,5,25
