FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time,Before Computation_cc_0,After Computation_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,cc_tiles_cc_0,Before Computation_cc_1,After Computation_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,cc_tiles_cc_1,Before Computation_cc_2,After Computation_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,cc_tiles_cc_2,Before Computation_cc_3,After Computation_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,cc_tiles_cc_3,Before Computation_cc_4,After Computation_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,cc_tiles_cc_4,Before Computation_cc_5,After Computation_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,cc_tiles_cc_5,Before Computation_cc_6,After Computation_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,cc_tiles_cc_6,Before Computation_cc_7,After Computation_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,cc_tiles_cc_7,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total
128x128x128w32-16-8,422285,422279,422281,422301,422268,422271,422295,422279,425674,422307,2987,415,111567,310623,512,2987,417,113096,309090,512,2987,414,112012,310173,512,2987,393,109962,312222,512,2985,425,112345,309838,512,2985,421,110999,311183,512,2977,404,107810,314379,512,2977,419,109532,312656,512,4096,887323,2490164
128x128x128w32-32-16,349198,349174,349195,349233,349222,349249,349224,349240,352969,349257,3253,536,32180,317428,128,3253,552,31203,318397,128,3253,531,32049,317551,128,3253,493,28560,321040,128,3251,504,30834,318766,128,3251,477,27503,322097,128,3243,510,28966,320642,128,3243,486,31093,318507,128,1024,242388,2554428
128x128x128w32-32-32,320141,320121,320140,320195,320161,320202,320202,320202,324204,320205,3589,494,15030,305543,64,3589,496,15198,305357,64,3589,478,15481,305075,64,3589,421,13844,306710,64,3587,456,14768,305787,64,3579,423,13732,306831,64,3579,423,13737,306826,64,3579,423,13419,307144,64,512,115209,2449273
128x128x128w32-32-8,396119,396106,396121,396149,396132,396082,396107,396098,399694,396155,3130,461,60311,336015,256,3130,467,61280,335039,256,3130,451,59731,336587,256,3130,422,55044,341273,256,3128,438,56449,339867,256,3128,487,54809,341506,256,3120,469,54610,341712,256,3120,477,58779,337542,256,2048,461013,2709541
128x128x128w32-8-16,411382,411376,411376,411378,411360,411384,411376,411374,414802,411392,3051,395,116373,294894,512,3051,385,118175,293076,512,3051,385,117623,293628,512,3051,383,116600,294651,512,3049,401,119754,291497,512,3049,377,114547,296704,512,3041,386,118297,292955,512,3041,394,119143,292115,512,4096,940512,2349520
128x128x128w32-8-32,340702,340701,340702,340717,340685,340710,340697,340695,344371,340723,3290,395,55795,285048,256,3290,389,56071,284765,256,3290,387,56718,284117,256,3290,371,55783,285051,256,3288,402,54273,286560,256,3288,376,54924,285908,256,3280,396,54317,286522,256,3280,397,55515,285323,256,2048,443396,2283294
128x128x128w32-8-8,533823,533818,533818,533827,533825,533819,533819,533828,537160,533834,2961,396,215134,318063,1024,2961,383,217846,315333,1024,2961,384,218378,314802,1024,2961,373,216421,316757,1024,2959,376,209605,323574,1024,2951,390,212233,320954,1024,2951,390,216508,316679,1024,2951,381,209151,324036,1024,8192,1715276,2550198
128x128x128w64-16-16,317461,317458,317479,317475,317486,317464,317473,317484,321399,317493,3402,562,27575,290322,128,3402,549,28019,289862,128,3402,528,27791,290090,128,3402,532,27522,290359,128,3400,521,27323,290558,128,3400,543,26223,291658,128,3392,542,26204,291685,128,3392,531,27329,290560,128,1024,217986,2325094
128x128x128w64-16-8,364339,364343,364331,364328,364321,364331,364367,364361,368146,364368,3269,555,58164,306476,256,3269,543,58746,305886,256,3269,554,58271,306360,256,3269,556,55790,308840,256,3267,562,57401,307228,256,3267,551,57170,307458,256,3259,522,54325,310310,256,3259,527,54896,309738,256,2048,454763,2462296
128x128x128w64-8-16,347667,347665,347669,347667,347670,347658,347666,347646,351473,347677,3320,500,56434,291479,256,3320,497,57379,290529,256,3320,492,57154,290753,256,3320,493,57253,290653,256,3318,489,54542,293363,256,3318,500,55277,292627,256,3310,499,55646,292265,256,3310,518,55222,292688,256,2048,448907,2334357
