FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
128x128x128w16-8-16,521389,521389,520365,2899,330,518159,215303,301833,517136,520365,1024,521384,521384,520360,2899,330,518154,218799,298332,517131,520360,1024,521383,521383,520359,2899,319,518164,216950,300191,517141,520359,1024,521382,521382,520358,2899,320,518162,217354,299785,517139,520358,1024,521379,521379,520355,2897,323,518158,218418,298717,517135,520355,1024,521378,521378,520354,2897,334,518146,214821,302302,517123,520354,1024,521377,521377,520353,2889,316,518171,215582,301566,517148,520353,1024,521376,521376,520352,2889,331,518155,216090,301042,517132,520352,1024,518171,521373,521373,8192,1733317,2403768,16,16,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w16-8-32,400589,400589,400077,3047,324,397217,108505,288201,396706,400077,512,400580,400580,400068,3047,325,397207,110896,285800,396696,400068,512,400579,400579,400067,3047,315,397216,108830,287875,396705,400067,512,400578,400578,400066,3047,306,397224,108232,288481,396713,400066,512,400575,400575,400063,3045,311,397218,106910,289797,396707,400063,512,400574,400574,400062,3045,328,397200,108058,288631,396689,400062,512,400573,400573,400061,3037,302,397233,109232,287490,396722,400061,512,400573,400573,400061,3037,302,397233,108469,288253,396722,400061,512,397234,400569,400569,4096,869132,2304528,20,20,11,11,10,10,9,9,6,6,5,5,4,4,4,4
128x128x128w16-8-64,342285,342285,342029,3305,326,338653,55756,282642,338398,342029,256,342278,342278,342022,3305,324,338648,56319,282074,338393,342022,256,342277,342277,342021,3305,317,338654,56062,282337,338399,342021,256,342276,342276,342020,3305,341,338629,54133,284241,338374,342020,256,342273,342273,342017,3303,323,338646,54463,283928,338391,342017,256,342272,342272,342016,3303,312,338656,53818,284583,338401,342016,256,342271,342271,342015,3295,332,338643,53057,285331,338388,342015,256,342270,342270,342014,3295,333,338641,54699,283687,338386,342014,256,338663,342267,342267,2048,438307,2268823,18,18,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w16-8-8,767372,767372,765324,2804,332,764235,424569,337619,762188,765324,2048,767354,767354,765306,2804,313,764236,428077,334112,762189,765306,2048,767355,767355,765307,2804,315,764235,428885,333303,762188,765307,2048,767353,767353,765305,2804,311,764237,426868,335322,762190,765305,2048,767352,767352,765304,2802,330,764219,422683,339489,762172,765304,2048,767352,767352,765304,2794,329,764228,423176,339005,762181,765304,2048,767352,767352,765304,2794,329,764228,427149,335032,762181,765304,2048,767352,767352,765304,2794,329,764228,424585,337596,762181,765304,2048,764243,767350,767350,16384,3405992,2691478,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
128x128x128w32-16-16,350234,350234,349978,3118,426,346689,54885,291549,346434,349978,256,350229,350229,349973,3118,424,346686,55779,290652,346431,349973,256,350228,350228,349972,3118,407,346702,55404,291043,346447,349972,256,350227,350227,349971,3118,415,346693,54478,291960,346438,349971,256,350224,350224,349968,3116,414,346693,54005,292433,346438,349968,256,350223,350223,349967,3116,435,346671,53264,293152,346416,349967,256,350222,350222,349966,3108,404,346709,52671,293783,346454,349966,256,350221,350221,349965,3108,427,346685,54035,292395,346430,349965,256,346709,350218,350218,2048,434521,2336967,16,16,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w32-16-32,317045,317045,316917,3367,432,313245,27626,285492,313118,316917,128,317037,317037,316909,3367,436,313233,28997,284109,313106,316909,128,317036,317036,316908,3367,435,313233,28038,285068,313106,316908,128,317035,317035,316907,3367,423,313244,27764,285353,313117,316907,128,317032,317032,316904,3365,401,313265,27170,285968,313138,316904,128,317031,317031,316903,3365,411,313254,27599,285528,313127,316903,128,317030,317030,316902,3357,412,313260,26068,287065,313133,316902,128,317029,317029,316901,3357,426,313245,27415,285703,313118,316901,128,313271,317026,317026,1024,220677,2284286,19,19,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w32-16-8,425689,425689,425177,2987,415,422286,111152,310623,421775,425177,512,425685,425685,425173,2987,417,422280,112679,309090,421769,425173,512,425684,425684,425172,2987,414,422282,111598,310173,421771,425172,512,425683,425683,425171,2987,393,422302,109569,312222,421791,425171,512,425680,425680,425168,2985,425,422269,111920,309838,421758,425168,512,425679,425679,425167,2985,421,422272,110578,311183,421761,425167,512,425678,425678,425166,2977,404,422296,107406,314379,421785,425166,512,425677,425677,425165,2977,419,422280,109113,312656,421769,425165,512,422307,425674,425674,4096,884015,2490164,15,15,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w32-32-16,352989,352989,352861,3253,536,349199,31644,317428,349072,352861,128,352981,352981,352853,3253,552,349175,30651,318397,349048,352853,128,352981,352981,352853,3253,531,349196,31518,317551,349069,352853,128,352981,352981,352853,3253,493,349234,28067,321040,349107,352853,128,352979,352979,352851,3251,504,349223,30330,318766,349096,352851,128,352979,352979,352851,3251,477,349250,27026,322097,349123,352851,128,352979,352979,352851,3243,510,349225,28456,320642,349098,352851,128,352971,352971,352843,3243,486,349241,30607,318507,349114,352843,128,349257,352969,352969,1024,238299,2554428,20,20,12,12,12,12,12,12,10,10,10,10,10,10,2,2
128x128x128w32-32-32,324226,324226,324162,3589,494,320142,14536,305543,320079,324162,64,324208,324208,324144,3589,496,320122,14702,305357,320059,324144,64,324209,324209,324145,3589,478,320141,15003,305075,320078,324145,64,324207,324207,324143,3589,421,320196,13423,306710,320133,324143,64,324206,324206,324142,3587,456,320162,14312,305787,320099,324142,64,324206,324206,324142,3579,423,320203,13309,306831,320140,324142,64,324206,324206,324142,3579,423,320203,13314,306826,320140,324142,64,324206,324206,324142,3579,423,320203,12996,307144,320140,324142,64,320205,324204,324204,512,111595,2449273,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
128x128x128w32-32-8,399712,399712,399456,3130,461,396120,59850,336015,395865,399456,256,399705,399705,399449,3130,467,396107,60813,335039,395852,399449,256,399704,399704,399448,3130,451,396122,59280,336587,395867,399448,256,399703,399703,399447,3130,422,396150,54622,341273,395895,399447,256,399700,399700,399444,3128,438,396133,56011,339867,395878,399444,256,399699,399699,399443,3128,487,396083,54322,341506,395828,399443,256,399698,399698,399442,3120,469,396108,54141,341712,395853,399442,256,399697,399697,399441,3120,477,396099,58302,337542,395844,399441,256,396155,399694,399694,2048,457341,2709541,18,18,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w32-8-16,414830,414830,414318,3051,395,411383,115978,294894,410872,414318,512,414814,414814,414302,3051,385,411377,117790,293076,410866,414302,512,414814,414814,414302,3051,385,411377,117238,293628,410866,414302,512,414814,414814,414302,3051,383,411379,116217,294651,410868,414302,512,414812,414812,414300,3049,401,411361,119353,291497,410850,414300,512,414812,414812,414300,3049,377,411385,114170,296704,410874,414300,512,414805,414805,414293,3041,386,411377,117911,292955,410866,414293,512,414811,414811,414299,3041,394,411375,118749,292115,410864,414299,512,411392,414802,414802,4096,937406,2349520,28,28,12,12,12,12,12,12,10,10,10,10,3,3,9,9
