JSON Name,Kernel Name,Kernel Time,Total Time,M,N,K,m,n,k
1x360x900w1-40-100,main$async_dispatch_0_matmul_transpose_b_1x360x900_f64,63565,371867,1,360,900,1,40,100
1x40x105w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x40x105_f64,1675,294106,1,40,105,1,40,105
1x40x315w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x40x315_f64,3422,294610,1,40,315,1,40,105
1x40x525w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x40x525_f64,5074,297329,1,40,525,1,40,105
1x40x735w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x40x735_f64,6626,300077,1,40,735,1,40,105
1x40x945w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x40x945_f64,8245,300464,1,40,945,1,40,105
1x80x105w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x80x105_f64,2791,297950,1,80,105,1,40,105
1x80x315w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x80x315_f64,6763,300816,1,80,315,1,40,105
1x80x525w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x80x525_f64,10806,305108,1,80,525,1,40,105
1x80x735w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x80x735_f64,14996,308496,1,80,735,1,40,105
1x80x945w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x80x945_f64,18992,313367,1,80,945,1,40,105
1x120x105w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x120x105_f64,3666,300141,1,120,105,1,40,105
1x120x315w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x120x315_f64,9039,305404,1,120,315,1,40,105
1x120x525w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x120x525_f64,14682,311830,1,120,525,1,40,105
1x120x735w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x120x735_f64,20114,317024,1,120,735,1,40,105
1x120x945w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x120x945_f64,25624,323151,1,120,945,1,40,105
1x160x105w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x160x105_f64,4480,303827,1,160,105,1,40,105
1x160x315w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x160x315_f64,11430,309093,1,160,315,1,40,105
1x160x525w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x160x525_f64,18651,317167,1,160,525,1,40,105
1x160x735w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x160x735_f64,25603,323112,1,160,735,1,40,105
1x160x945w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x160x945_f64,33004,332212,1,160,945,1,40,105
1x200x105w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x200x105_f64,5486,306649,1,200,105,1,40,105
1x200x315w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x200x315_f64,13732,314716,1,200,315,1,40,105
1x200x525w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x200x525_f64,22358,322050,1,200,525,1,40,105
1x200x735w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x200x735_f64,30773,330737,1,200,735,1,40,105
1x200x945w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x200x945_f64,38848,340199,1,200,945,1,40,105
1x240x105w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x240x105_f64,6580,308620,1,240,105,1,40,105
1x240x315w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x240x315_f64,16384,317815,1,240,315,1,40,105
1x240x525w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x240x525_f64,26323,329578,1,240,525,1,40,105
1x240x735w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x240x735_f64,36182,338176,1,240,735,1,40,105
1x240x945w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x240x945_f64,36182,338176,1,240,945,1,40,105
1x280x105w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x280x105_f64,6951,310010,1,280,105,1,40,105
1x280x315w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x280x315_f64,18413,321806,1,280,315,1,40,105
1x280x525w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x280x525_f64,30009,334172,1,280,525,1,40,105
1x280x735w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x280x735_f64,41480,344794,1,280,735,1,40,105
1x280x945w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x280x945_f64,52939,356610,1,280,945,1,40,105
1x320x105w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x320x105_f64,8142,314924,1,320,105,1,40,105
1x320x315w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x320x315_f64,20882,326981,1,320,315,1,40,105
1x320x525w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x320x525_f64,34048,339707,1,320,525,1,40,105
1x320x735w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x320x735_f64,46874,352946,1,320,735,1,40,105
1x320x945w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x320x945_f64,59686,364057,1,320,945,1,40,105
1x360x105w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x360x105_f64,9047,316473,1,360,105,1,40,105
1x360x315w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x360x315_f64,23099,330615,1,360,315,1,40,105
1x360x525w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x360x525_f64,37304,345062,1,360,525,1,40,105
1x360x735w1-40-105,main$async_dispatch_0_matmul_transpose_b_1x360x735_f64,52076,360057,1,360,735,1,40,105
