JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Kernel Name,Kernel Time,Total Time,Predicted Kernel Time
0-40-100,40,100,64800,4000,20800,1,2400,480000,240000,48000,192000,1,5,100,480,5,100,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89866,1110431,92174.52787264867
0-120-40,120,40,77120,4800,8480,1,6000,480000,240000,48000,192000,3,5,40,400,15,40,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90062,1119359,93749.08873232885
0-24-200,24,200,78400,4800,7200,1,1200,480000,240000,80000,160000,1,3,200,400,3,200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90506,1116335,97927.73663577123
0-40-20,40,20,12960,800,72640,1,12000,480000,240000,48000,192000,1,5,20,2400,5,20,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89792,1145037,141846.8721567063
0-40-16,40,16,10368,640,75232,1,15000,480000,240000,48000,192000,1,5,16,3000,5,16,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89825,1164333,152458.42107638402
0-40-8,40,8,5184,320,80416,1,30000,480000,240000,48000,192000,1,5,8,6000,5,8,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89792,1202195,202709.84635409398
