JSON Name,Kernel Name,Kernel Time,Total Time,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Actual HW Loop Runs,Total Loads,Tile Shape
0-120-22,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,105501,1169813,120,22,42416,2640,43184,2,11400,501600,250800,50160,200640,3,5,22,2280,513000,tall
0-120-33,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,93178,1157490,120,33,63624,3960,21976,2,7800,514800,257400,51480,205920,3,5,33,1560,522600,tall
0-120-44,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,87587,1152136,120,44,84832,5280,768,2,6000,528000,264000,52800,211200,3,5,44,1200,534000,tall
0-200-22,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,111430,1179508,200,22,70576,4400,15024,2,11400,501600,250800,50160,200640,5,5,22,2280,513000,tall
0-24-107,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,79894,1143608,24,107,41944,2568,43656,2,2400,513600,256800,85600,171200,1,3,107,800,516000,wide
0-24-117,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,85151,1147681,24,117,45864,2808,39736,2,2400,561600,280800,93600,187200,1,3,117,800,564000,wide
0-24-127,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,91451,1153981,24,127,49784,3048,35816,2,2400,609600,304800,101600,203200,1,3,127,800,612000,wide
0-24-137,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,68663,1131824,24,137,53704,3288,31896,2,1800,493200,246600,82200,164400,1,3,137,600,495000,wide
0-24-147,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,71033,1134194,24,147,57624,3528,27976,2,1800,529200,264600,88200,176400,1,3,147,600,531000,wide
0-24-157,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,85364,1147762,24,157,61544,3768,24056,2,1800,565200,282600,94200,188400,1,3,157,600,567000,wide
