FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x128x128w28-32-23,379110,379114,379120,379098,379089,379115,379106,379106,383112,379123
128x128x128w28-32-24,380321,380300,380302,380315,380327,380322,380331,380335,384325,380343
128x128x128w28-32-25,381686,381686,381686,381695,381692,381695,381679,381670,385720,381701
128x128x128w28-32-26,369920,369937,369903,369921,369943,369936,369939,369937,373965,369948
128x128x128w28-32-27,367968,367979,367969,367955,367954,367955,367972,367955,372006,367981
128x128x128w28-32-28,366509,366491,366466,366492,366479,366497,366500,366523,370570,366524
128x128x128w28-32-29,365463,365461,365419,365448,365453,365444,365454,365454,369554,365464
128x128x128w28-32-30,363165,363153,363164,363178,363170,363155,363155,363146,367277,363182
128x128x128w28-32-31,362516,362532,362535,362528,362511,362507,362519,362529,366592,362537
128x128x128w28-32-32,355429,355423,355430,355460,355450,355453,355440,355428,359457,355467
128x128x128w29-24-32,345125,345114,345129,345130,344862,344869,344852,344850,349076,345134
128x128x128w29-24-33,346736,346744,346750,346760,346521,346518,346514,346514,350797,346763
128x128x128w29-24-34,346427,346445,346417,346423,346217,346219,346219,346219,350512,346446
128x128x128w29-24-35,347291,347314,347285,347293,347106,347109,347109,347109,351375,347315
128x128x128w29-32-22,381669,381678,381684,381679,381071,381080,381056,381047,385646,381687
128x128x128w29-32-23,379232,379233,379224,379216,378763,378787,378769,378765,383213,379235
128x128x128w29-32-24,378634,378642,378635,378596,378327,378339,378335,378320,382638,378644
128x128x128w29-32-25,376685,376683,376684,376690,376525,376525,376536,376517,380691,376694
128x128x128w29-32-26,369393,369383,369407,369415,368595,368600,368605,368594,373418,369419
128x128x128w29-32-27,367313,367317,367317,367306,366620,366613,366622,366622,371337,367320
128x128x128w29-32-28,365411,365413,365414,365399,364848,364843,364859,364859,369453,365417
128x128x128w29-32-29,365854,365851,365855,365867,365442,365425,365424,365432,369955,365872
128x128x128w29-32-30,365533,365500,365500,365516,365216,365218,365231,365224,369624,365534
128x128x128w29-32-31,364263,364279,364277,364263,364099,364092,364109,364100,368331,364280
128x128x128w29-32-32,356562,356570,356562,356549,355477,355485,355494,355486,360577,356575
128x128x128w30-24-32,329354,329343,329353,329357,329357,329364,329347,329345,333315,329370
128x128x128w30-24-33,330902,330888,330896,330882,330899,330902,330900,330902,334937,330910
128x128x128w30-24-34,330807,330816,330801,330817,330789,330803,330806,330803,334872,330820
128x128x128w30-32-22,362623,362638,362638,362630,362638,362648,362646,362644,366605,362654
128x128x128w30-32-23,360914,360892,360913,360900,360902,360916,360927,360924,364899,360934
128x128x128w30-32-24,361571,361554,361550,361543,361553,361563,361575,361570,365563,361582
128x128x128w30-32-25,360733,360729,360733,360740,360719,360719,360733,360711,364742,360744
128x128x128w30-32-26,353196,353209,353200,353184,353182,353187,353185,353200,357220,353211
128x128x128w30-32-27,352100,352086,352092,352078,352077,352070,352078,352088,356114,352101
128x128x128w30-32-28,349525,349525,349509,349509,349507,349502,349525,349517,353564,349532
128x128x128w30-32-29,352318,352319,352315,352334,352324,352302,352308,352309,356411,352338
128x128x128w30-32-30,348460,348465,348467,348444,348444,348435,348446,348463,352562,348471
128x128x128w30-32-31,350414,350419,350429,350433,350437,350444,350441,350445,354474,350452
128x128x128w30-32-32,341039,341038,341020,341030,341029,341054,341054,341046,345052,341056
128x128x128w31-24-32,329275,329275,329264,329268,306262,306263,306241,305966,333245,329277
128x128x128w31-24-33,331182,331181,331188,331190,307794,307800,307765,307522,335215,331193
128x128x128w31-32-22,363219,363220,363210,363214,339204,339230,339245,338567,367177,363222
128x128x128w31-32-23,361338,361341,361331,361329,337331,337329,337355,336824,365325,361343
128x128x128w31-32-24,361982,361980,361984,361973,338024,338021,338036,337727,365973,361987
128x128x128w31-32-25,363160,363161,363150,363147,338972,338976,338974,338824,367166,363163
128x128x128w31-32-26,355349,355344,355342,355357,332701,332664,332669,331829,359358,355361
128x128x128w31-32-27,353336,353338,353336,353340,330715,330728,330702,330006,357349,353344
128x128x128w31-32-28,351114,351119,351118,351110,328651,328647,328620,328069,355146,351121
128x128x128w31-32-29,351657,351651,351648,351652,328945,328962,329011,328537,355718,351658
