FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileB,tileA,Space Needed in L1,Row Dim,Reduction Dim,tileB_cc,Weight Matrix Tile Size,m Dim,Space Remaining,tileC,tileA_cc,tileC_cc,remainderTiles,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
120x120x30w15-40-15,120,120,30,15,40,15,15-40-15,4800,1800,22800,40,15,4800,9600,15,91888,4800,120,320,000,384,8,3,2,0,48,1,5,15,8,1,-1.0,2,5,15,8,2,39600,28800,10800,864000.0,3600.0,403200,28800.0,432000.0,92160,14.999999999999996,10800,230400,28800,270000,18.000000000000004,3384.0,48.0,1024.0,120.0,119.99999999999997,54000.0,378000.0,54000.0,432000.0,432000.0,168.0,0.41142857142857137,864000.0,1050.0,28.125,600.0,75.0,703.125,8.8125,825.0,600.0,0.04687500000000001,225.0,0.125,2.6666666666666665
120x120x30w12-24-30,120,120,30,12,24,30,12-24-30,5760,2880,21888,24,30,5760,11520,12,92800,2304,240,192,000,400,10,5,1,0,50,1,3,30,8,1,-1.0,2,3,30,8,2,54000,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,192000,3.7500000000000004,18000,288000,14400,320400,25.0,9500.0,20.0,320.0,30.0,30.000000000000004,54000.0,378000.0,54000.0,432000.0,432000.0,175.0,0.4761904761904762,864000.0,1044.0,45.0,720.0,36.0,801.0,23.75,1080.0,288.0,0.0625,360.0,0.05,0.8
120x120x30w24-24-15,120,120,30,24,24,15,24-24-15,2880,2880,20736,24,15,2880,5760,24,93952,4608,360,576,000,400,5,5,2,0,50,3,3,15,8,3,0.3,4,3,15,8,4,36000,28800,18000,864000.0,3600.0,403200,28800.0,432000.0,96000,15.0,18000,144000,28800,190800,50.0,2250.0,80.0,640.0,120.0,120.0,54000.0,378000.0,54000.0,432000.0,432000.0,175.0,0.4232804232804233,864000.0,1008.0,45.0,360.0,72.0,477.0,5.625,720.0,576.0,0.125,360.0,0.2,1.6
120x120x30w20-40-10,120,120,30,20,40,10,20-40-10,3200,1600,22400,40,10,3200,6400,20,92288,6400,160,640,000,432,6,3,3,0,54,2,5,10,8,2,-1.0,3,5,10,8,3,32400,43200,10800,864000.0,5400.0,388800,43200.0,432000.0,69120,33.75,10800,172800,43200,226800,27.0,1908.0000000000002,108.0,1728.0,270.0,270.0,54000.0,378000.0,54000.0,432000.0,432000.0,189.0,0.5142857142857143,864000.0,900.0,25.0,400.0,100.0,525.0,4.416666666666667,600.0,800.0,0.0625,200.0,0.25,4.0
120x120x30w12-40-15,120,120,30,12,40,15,12-40-15,4800,1440,20160,40,15,4800,9600,12,94528,3840,120,320,000,480,10,3,2,0,60,1,5,15,8,1,-1.0,2,5,15,8,2,46800,28800,10800,864000.0,3600.0,403200,28800.0,432000.0,115200,15.0,10800,288000,28800,327600,18.000000000000004,5580.0,48.0,1280.0,120.0,120.0,54000.0,378000.0,54000.0,432000.0,432000.0,210.0,0.6857142857142857,864000.0,840.0,22.5,600.0,60.0,682.5,11.625,780.0,480.0,0.037500000000000006,180.0,0.1,2.6666666666666665
120x120x30w10-24-30,120,120,30,10,24,30,10-24-30,5760,2400,20160,24,30,5760,11520,10,94528,1920,240,192,000,480,12,5,1,0,60,1,3,30,8,1,-1.0,2,3,30,8,2,61200,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,230400,3.75,18000,345600,14400,378000,24.999999999999996,13200.0,20.000000000000004,384.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,210.0,0.6666666666666667,864000.0,870.0,37.5,720.0,30.0,787.5,27.5,1020.0,240.0,0.05208333333333333,300.0,0.04166666666666667,0.8
120x120x30w30-24-10,120,120,30,30,24,10,30-24-10,1920,2400,20160,24,10,1920,3840,30,94528,5760,240,576,000,480,4,5,3,0,60,3,3,10,8,3,-1.0,4,3,10,8,4,32400,43200,18000,864000.0,5400.0,388800,43200.0,432000.0,76800,33.75,18000,115200,43200,176400,75.0,1500.0,180.00000000000003,1152.0,270.0,270.0,54000.0,378000.0,54000.0,432000.0,432000.0,210.0,0.6190476190476192,864000.0,810.0,37.5,240.0,90.0,367.5,3.125,540.0,720.0,0.15625,300.0,0.37500000000000006,2.4
120x120x30w20-24-15,120,120,30,20,24,15,20-24-15,2880,2400,18240,24,15,2880,5760,20,96448,3840,240,384,000,480,6,5,2,0,60,2,3,15,8,2,-1.0,3,3,15,8,3,39600,28800,18000,864000.0,3600.0,403200,28800.0,432000.0,115200,15.0,18000,172800,28800,219600,49.99999999999999,3300.0,80.00000000000001,768.0,120.0,120.0,54000.0,378000.0,54000.0,432000.0,432000.0,210.0,0.6349206349206349,864000.0,840.0,37.5,360.0,60.0,457.5,6.875,660.0,480.0,0.10416666666666666,300.0,0.16666666666666669,1.6
120x120x30w30-8-30,120,120,30,30,8,30,30-8-30,1920,7200,22080,8,30,1920,3840,30,92608,1920,720,192,000,480,4,15,1,0,60,3,1,30,8,3,-1.0,4,1,30,8,4,68400,14400,54000,864000.0,1800.0,417600,14400.0,432000.0,230400,3.75,54000,115200,14400,183600,225.0,5700.0,60.0,128.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,210.0,0.6190476190476192,864000.0,870.0,112.5,240.0,30.0,382.5,11.875,1140.0,240.0,0.46875,900.0,0.125,0.26666666666666666
120x120x30w60-8-15,120,120,30,60,8,15,60-8-15,960,7200,24000,8,15,960,1920,60,90688,3840,840,448,000,480,2,15,2,0,60,7,1,15,8,7,-1.0,8,1,15,8,8,61200,28800,54000,864000.0,3600.0,403200,28800.0,432000.0,115200,15.0,54000,57600,28800,140400,450.0,1864.2857142857144,240.0,256.0,120.0,120.0,54000.0,378000.0,54000.0,432000.0,432000.0,210.0,0.6122448979591837,864000.0,840.0,112.5,120.0,60.0,292.5,3.8839285714285716,1020.0,480.0,0.9375,900.0,0.5,0.5333333333333333
