FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Reduction Dim,Weight Matrix Tile Size,m Dim,tileA_cc,tileC,Space Needed in L1,tileB_cc,Space Remaining,tileA,tileB,tileC_cc,remainderTiles,Row Dim,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
30x120x120w15-40-15,30,120,120,15,40,15,15-40-15,15,9600,15,120,4800,22800,4800,91888,1800,4800,320,000,40,384,2,3,8,0,48,1,5,15,8,1,-1,2,5,15,8,2,39600,28800,10800,864000.0,3600.0,403200,28800.0,432000.0,92160,14.999999999999996,10800,230400,28800,270000,18.000000000000004,3384.0,48.0,1024.0,120.0,119.99999999999997,54000.0,378000.0,54000.0,432000.0,432000.0,168.0,0.41142857142857137,864000.0,1050.0,28.125,600.0,75.0,703.125,8.8125,825.0,600.0,0.04687500000000001,225.0,0.125,2.6666666666666665
30x120x120w15-24-24,30,120,120,15,24,24,15-24-24,24,9216,15,192,2880,20736,4608,93952,2880,4608,192,000,24,400,2,5,5,0,50,1,3,24,8,1,-1,2,3,24,8,2,46800,18000,18000,864000.0,2250.0,414000,18000.0,432000.0,153600,5.859375,18000,230400,18000,266400,31.249999999999993,5800.0,31.249999999999993,400.0,46.875,46.875,54000.0,378000.0,54000.0,432000.0,432000.0,175.0,0.4464285714285714,864000.0,1035.0,45.0,576.0,45.0,666.0,14.5,936.0,360.0,0.07812499999999999,360.0,0.07812499999999999,1.0
30x120x120w30-24-12,30,120,120,30,24,12,30-24-12,12,4608,30,288,5760,21888,2304,92800,2880,2304,576,000,24,400,1,5,10,0,50,3,3,12,8,3,-1,4,3,12,8,4,32400,36000,18000,864000.0,4500.0,396000,36000.0,432000.0,76800,23.4375,18000,115200,36000,169200,62.5,1500.0,125.0,800.0,187.5,187.5,54000.0,378000.0,54000.0,432000.0,432000.0,175.0,0.4298941798941799,864000.0,990.0,45.0,288.0,90.0,423.0,3.75,648.0,720.0,0.15625,360.0,0.3125,2.0
30x120x120w10-40-20,30,120,120,10,40,20,10-40-20,20,12800,10,160,3200,22400,6400,92288,1600,6400,320,000,40,432,3,3,6,0,54,1,5,20,8,1,-1,2,5,20,8,2,54000,21600,10800,864000.0,2700.0,410400,21600.0,432000.0,138240,8.4375,10800,345600,21600,378000,13.5,7776.0,27.0,864.0,67.5,67.5,54000.0,378000.0,54000.0,432000.0,432000.0,189.0,0.54,864000.0,950.0,25.0,800.0,50.0,875.0,18.0,1000.0,400.0,0.03125,200.0,0.0625,2.0
30x120x120w15-8-60,30,120,120,15,8,60,15-8-60,60,7680,15,480,960,24000,3840,90688,7200,3840,64,000,8,480,2,15,2,0,60,1,1,60,8,1,-1,2,1,60,8,2,82800,7200,54000,864000.0,900.0,424800,7200.0,432000.0,460800,0.9375,54000,230400,7200,291600,112.5,19800.0,15.0,64.0,7.5,7.5,54000.0,378000.0,54000.0,432000.0,432000.0,210.0,0.642857142857143,864000.0,885.0,112.5,480.0,15.0,607.5,41.25,1380.0,120.0,0.234375,900.0,0.03125,0.13333333333333333
30x120x120w10-24-30,30,120,120,10,24,30,10-24-30,30,11520,10,240,1920,20160,5760,94528,2400,5760,192,000,24,480,3,5,4,0,60,1,3,30,8,1,-1,2,3,30,8,2,61200,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,230400,3.75,18000,345600,14400,378000,24.999999999999996,13200.0,20.000000000000004,384.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,210.0,0.6666666666666667,864000.0,870.0,37.5,720.0,30.0,787.5,27.5,1020.0,240.0,0.05208333333333333,300.0,0.04166666666666667,0.8
30x120x120w30-8-30,30,120,120,30,8,30,30-8-30,30,3840,30,720,1920,22080,1920,92608,7200,1920,192,000,8,480,1,15,4,0,60,3,1,30,8,3,-1,4,1,30,8,4,68400,14400,54000,864000.0,1800.0,417600,14400.0,432000.0,230400,3.75,54000,115200,14400,183600,225.0,5700.0,60.0,128.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,210.0,0.6190476190476192,864000.0,870.0,112.5,240.0,30.0,382.5,11.875,1140.0,240.0,0.46875,900.0,0.125,0.26666666666666666
30x120x120w15-40-12,30,120,120,15,40,12,15-40-12,12,7680,15,96,4800,20160,3840,94528,1440,3840,320,000,40,480,2,3,10,0,60,1,5,12,8,1,-1,2,5,12,8,2,39600,36000,10800,864000.0,4500.0,396000,36000.0,432000.0,92160,23.437500000000004,10800,230400,36000,277200,22.500000000000004,3384.0000000000005,74.99999999999999,1600.0,187.5,187.50000000000003,54000.0,378000.0,54000.0,432000.0,432000.0,210.0,0.642857142857143,864000.0,825.0,22.5,480.0,75.0,577.5,7.050000000000001,660.0,600.0,0.04687500000000001,180.0,0.15624999999999997,3.3333333333333335
30x120x120w30-24-10,30,120,120,30,24,10,30-24-10,10,3840,30,240,5760,20160,1920,94528,2400,1920,576,000,24,480,1,5,12,0,60,3,3,10,8,3,-1,4,3,10,8,4,32400,43200,18000,864000.0,5400.0,388800,43200.0,432000.0,76800,33.75,18000,115200,43200,176400,75.0,1500.0,180.00000000000003,1152.0,270.0,270.0,54000.0,378000.0,54000.0,432000.0,432000.0,210.0,0.6190476190476192,864000.0,810.0,37.5,240.0,90.0,367.5,3.125,540.0,720.0,0.15625,300.0,0.37500000000000006,2.4
30x120x120w15-24-20,30,120,120,15,24,20,15-24-20,20,7680,15,160,2880,18240,3840,96448,2400,3840,192,000,24,480,2,5,6,0,60,1,3,20,8,1,-1,2,3,20,8,2,46800,21600,18000,864000.0,2700.0,410400,21600.0,432000.0,153600,8.4375,18000,230400,21600,270000,37.49999999999999,5800.0,45.00000000000001,576.0,67.5,67.5,54000.0,378000.0,54000.0,432000.0,432000.0,210.0,0.642857142857143,864000.0,855.0,37.5,480.0,45.0,562.5,12.083333333333334,780.0,360.0,0.07812499999999999,300.0,0.09375000000000001,1.2
