JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Kernel Name,Kernel Time,Total Time
0-24-176,24,176,68992,4224,2208,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,109169,1188538
0-48-88,48,88,68288,4224,2912,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,109169,1188538
0-40-104,40,104,67392,4160,3808,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,133189,1283634
0-24-168,24,168,65856,4032,5344,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,174951,1450470
0-24-160,24,160,62720,3840,8480,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,171613,1438302
0-40-96,40,96,62208,3840,8992,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,175225,1452056
0-80-48,80,48,61824,3840,9376,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,182434,1481577
0-24-152,24,152,59584,3648,11616,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,160151,1391286
0-40-88,40,88,57024,3520,14176,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,149984,1351389
0-24-144,24,144,56448,3456,14752,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,149984,1351389
0-48-72,48,72,55872,3456,15328,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,148111,1344135
0-24-136,24,136,53312,3264,17888,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,129958,1271622
0-24-128,24,128,50176,3072,21024,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,180448,1490723
0-48-64,48,64,49664,3072,21536,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,213824,1606760
0-24-120,24,120,47040,2880,24160,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,167288,1419104
0-40-72,40,72,46656,2880,24544,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,147559,1343601
0-24-112,24,112,43904,2688,27296,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,158363,1398894
0-48-56,48,56,43456,2688,27744,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,155593,1373233
0-40-64,40,64,41472,2560,29728,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,214576,1610608
0-80-32,80,32,41216,2560,29984,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,212468,1602133
0-24-104,24,104,40768,2496,30432,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,133167,1284223
0-24-96,24,96,37632,2304,33568,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,229844,1672015
0-48-48,48,48,37248,2304,33952,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,201405,1554686
0-40-56,40,56,36288,2240,34912,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,156134,1375192
0-24-88,24,88,34496,2112,36704,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,155517,1397695
0-40-48,40,48,31104,1920,40096,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,207318,1581715
0-80-24,80,24,30912,1920,40288,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,200557,1554774
0-24-72,24,72,28224,1728,42976,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,200557,1554774
0-24-64,24,64,25088,1536,46112,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,244324,1729091
0-48-32,48,32,24832,1536,46368,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,257192,1780662
0-24-56,24,56,21952,1344,49248,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,228434,1665727
0-40-32,40,32,20736,1280,50464,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,263308,1791252
0-80-16,80,16,20608,1280,50592,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,190305,1512268
0-24-48,24,48,18816,1152,52384,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,244422,1729603
0-48-24,48,24,18624,1152,52576,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,219658,1633488
0-40-24,40,24,15552,960,55648,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,238987,1706789
0-24-32,24,32,12544,768,58656,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,302597,1962088
0-48-16,48,16,12416,768,58784,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,186746,1498002
0-40-16,40,16,10368,640,60832,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,193104,1522559
0-24-24,24,24,9408,576,61792,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,305685,1965176
0-24-16,24,16,6272,384,64928,2,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,305685,1965176

