JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Kernel Name,Kernel Time,Total Time
0-24-8,24,8,3136,192,82464,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,310238,1353027
0-24-10,24,10,3920,240,81680,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,243499,1284237
0-24-12,24,12,4704,288,80896,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,217262,1258257
0-24-15,24,15,5880,360,79720,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,191694,1232673
0-24-20,24,20,7840,480,77760,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,148969,1190920
0-24-24,24,24,9408,576,76192,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,134705,1174568
0-24-25,24,25,9800,600,75800,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,144643,1185966
0-24-30,24,30,11760,720,73840,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,130217,1171196
0-24-40,24,40,15680,960,69920,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,117565,1159445
0-24-50,24,50,19600,1200,66000,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,105382,1146377
0-24-60,24,60,23520,1440,62080,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,93493,1133403
0-24-75,24,75,29400,1800,56200,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,88898,1129237
0-24-100,24,100,39200,2400,46400,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,80994,1122125
0-24-120,24,120,47040,2880,38560,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,79292,1119386
0-24-150,24,150,58800,3600,26800,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,76490,1118136
0-24-200,24,200,78400,4800,7200,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,72988,1112697
0-40-8,40,8,5184,320,80416,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,204744,1246250
0-40-10,40,10,6480,400,79120,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,174619,1214935
0-40-12,40,12,7776,480,77824,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,152380,1192216
0-40-15,40,15,9720,600,75880,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,137285,1178124
0-40-20,40,20,12960,800,72640,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,119287,1159603
0-40-24,40,24,15552,960,70048,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,108786,1148622
0-40-25,40,25,16200,1000,69400,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,107000,1147316
0-40-30,40,30,19440,1200,66160,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,98109,1138425
0-40-40,40,40,25920,1600,59680,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,84547,1123932
0-40-50,40,50,32400,2000,53200,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,85386,1126892
0-40-60,40,60,38880,2400,46720,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,80221,1120055
0-40-75,40,75,48600,3000,37000,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,76421,1117436
0-40-100,40,100,64800,4000,20800,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,69121,1110948
0-40-120,40,120,77760,4800,7840,1,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,70917,1111317
