JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Kernel Name,Kernel Time,Total Time
0-24-216,24,216,84672,5184,928,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,100894,1141146
0-40-128,40,128,82944,5120,2656,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,110867,1151688
0-24-208,24,208,81536,4992,4064,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,99032,1139284
0-24-192,24,192,75264,4608,10336,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,132705,1171465
0-40-112,40,112,72576,4480,13024,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,129677,1170250
0-24-184,24,184,72128,4416,13472,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,126018,1166054
0-24-176,24,176,68992,4224,16608,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,121563,1161599
0-40-104,40,104,67392,4160,18208,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,102441,1144325
0-24-168,24,168,65856,4032,19744,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,115977,1156029
0-24-160,24,160,62720,3840,22880,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,113007,1153075
0-40-96,40,96,62208,3840,23392,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,122001,1163885
0-24-152,24,152,59584,3648,26016,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,98810,1138878
0-40-88,40,88,57024,3520,28576,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,103232,1144011
0-24-144,24,144,56448,3456,29152,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,124479,1164202
0-24-136,24,136,53312,3264,32288,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,117771,1157479
0-40-80,40,80,51840,3200,33760,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,140450,1180955
0-24-128,24,128,50176,3072,35424,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,121256,1161864
0-40-72,40,72,46656,2880,38944,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,112895,1154786
0-24-112,24,112,43904,2688,41696,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,134151,1175532
0-40-64,40,64,41472,2560,44128,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,154903,1196590
0-24-104,24,104,40768,2496,44832,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,109765,1151146
0-24-96,24,96,37632,2304,47968,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,163048,1203343
0-40-56,40,56,36288,2240,49312,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,113118,1154263
0-24-88,24,88,34496,2112,51104,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,115001,1156337
0-24-80,24,80,31360,1920,54240,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,157295,1197742
0-40-48,40,48,31104,1920,54496,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,151657,1192577
0-24-72,24,72,28224,1728,57376,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,154947,1195820
0-24-64,24,64,25088,1536,60512,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,176112,1216464
0-24-56,24,56,21952,1344,63648,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,161788,1201559
0-40-32,40,32,20736,1280,64864,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,190282,1231428
0-24-48,24,48,18816,1152,66784,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,179036,1220109
0-24-32,24,32,12544,768,73056,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,224213,1263544
0-40-16,40,16,10368,640,75232,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,230363,1271509
0-24-16,24,16,6272,384,79328,2,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,287527,1328554
