JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Kernel Name,Kernel Time,Total Time
0-24-8,24,8,3136,192,82464,1,30000,480000,240000,80000,160000,1,3,8,10000,3,8,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90614,1248502
0-24-10,24,10,3920,240,81680,1,24000,480000,240000,80000,160000,1,3,10,8000,3,10,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90614,1221491
0-24-16,24,16,6272,384,79328,1,15000,480000,240000,80000,160000,1,3,16,5000,3,16,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90506,1188868
0-24-20,24,20,7840,480,77760,1,12000,480000,240000,80000,160000,1,3,20,4000,3,20,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90558,1167912
0-24-25,24,25,9800,600,75800,1,9600,480000,240000,80000,160000,1,3,25,3200,3,25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90645,1155776
0-24-40,24,40,15680,960,69920,1,6000,480000,240000,80000,160000,1,3,40,2000,3,40,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90059,1136797
0-24-50,24,50,19600,1200,66000,1,4800,480000,240000,80000,160000,1,3,50,1600,3,50,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90019,1132348
0-24-80,24,80,31360,1920,54240,1,3000,480000,240000,80000,160000,1,3,80,1000,3,80,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90100,1125616
0-24-100,24,100,39200,2400,46400,1,2400,480000,240000,80000,160000,1,3,100,800,3,100,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90083,1119527
0-24-200,24,200,78400,4800,7200,1,1200,480000,240000,80000,160000,1,3,200,400,3,200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90378,1115541
0-40-8,40,8,5184,320,80416,1,30000,480000,240000,48000,192000,1,5,8,6000,5,8,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89640,1202191
0-40-10,40,10,6480,400,79120,1,24000,480000,240000,48000,192000,1,5,10,4800,5,10,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89640,1181151
0-40-16,40,16,10368,640,75232,1,15000,480000,240000,48000,192000,1,5,16,3000,5,16,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89640,1165214
0-40-20,40,20,12960,800,72640,1,12000,480000,240000,48000,192000,1,5,20,2400,5,20,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89640,1144447
