JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Kernel Name,Kernel Time,Total Time
0-40-120,40,120,77760,4800,7840,1,3000,720000,360000,72000,288000,1,5,120,600,5,120,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89990,1112946
0-120-8,120,8,15424,960,70176,1,45000,720000,360000,72000,288000,3,5,8,3000,15,8,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89729,1307012
0-120-10,120,10,19280,1200,66320,1,36000,720000,360000,72000,288000,3,5,10,2400,15,10,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,91364,1262146
0-120-12,120,12,23136,1440,62464,1,30000,720000,360000,72000,288000,3,5,12,2000,15,12,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,90327,1224677
0-120-15,120,15,28920,1800,56680,1,24000,720000,360000,72000,288000,3,5,15,1600,15,15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,91364,1192663
0-120-20,120,20,38560,2400,47040,1,18000,720000,360000,72000,288000,3,5,20,1200,15,20,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89729,1155408
0-120-24,120,24,46272,2880,39328,1,15000,720000,360000,72000,288000,3,5,24,1000,15,24,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89729,1139593
0-120-25,120,25,48200,3000,37400,1,14400,720000,360000,72000,288000,3,5,25,960,15,25,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89729,1142824
0-120-30,120,30,57840,3600,27760,1,12000,720000,360000,72000,288000,3,5,30,800,15,30,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,91419,1137534
0-120-40,120,40,77120,4800,8480,1,9000,720000,360000,72000,288000,3,5,40,600,15,40,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,91366,1122419
0-200-8,200,8,25664,1600,59936,1,45000,720000,360000,72000,288000,5,5,8,1800,25,8,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89761,1312768
0-200-10,200,10,32080,2000,53520,1,36000,720000,360000,72000,288000,5,5,10,1440,25,10,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89790,1266186
0-200-12,200,12,38496,2400,47104,1,30000,720000,360000,72000,288000,5,5,12,1200,25,12,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89598,1227463
0-200-15,200,15,48120,3000,37480,1,24000,720000,360000,72000,288000,5,5,15,960,25,15,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89757,1197700
0-200-20,200,20,64160,4000,21440,1,18000,720000,360000,72000,288000,5,5,20,720,25,20,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89598,1158318
0-200-24,200,24,76992,4800,8608,1,15000,720000,360000,72000,288000,5,5,24,600,25,24,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89598,1141555
0-200-25,200,25,80200,5000,5400,1,14400,720000,360000,72000,288000,5,5,25,576,25,25,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89769,1143879
0-600-8,600,8,76864,4800,8736,1,45000,720000,360000,72000,288000,15,5,8,600,75,8,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,89757,1243185
